gene_name,30ff778c-844b-4140-9025-7ab1938f10a9,3396edba-0d2a-4485-ad0a-5114b38c1abe,427a04c9-9b48-49de-8a47-2adc4e1dd32a,461fda5d-d6e6-4354-b035-c302cc43b03f,95668f0b-130d-44d4-94c0-ba7a4e7798e6,9dc09c86-c728-4bd9-b2b6-2d9962dad662,a58e2ae3-a236-4209-8292-70465216cb85,d2e2915c-125e-45c6-b7f3-6a815b3d2859,de5e449b-bc57-4836-89e4-73a3ba24abdf,fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8
5S_rRNA,0.2222222222222222,0.0,0.3333333333333333,1.1111111111111112,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0
5_8S_rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7SK,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
A1BG,2.0,3.0,9.0,4.0,23.0,17.0,3.0,17.0,2.0,15.0
A1BG-AS1,48.0,68.0,192.0,49.0,157.0,71.0,29.0,151.0,67.0,79.0
A1CF,2.0,3.0,5.0,0.0,1.0,3.0,12.0,1.0,0.0,2.0
A2M,89315.0,25594.0,86467.0,22417.0,18622.0,30338.0,27623.0,50744.0,53571.0,41396.0
A2M-AS1,116.0,40.0,107.0,74.0,49.0,82.0,34.0,59.0,67.0,53.0
A2ML1,119.0,2.0,7867.0,14.0,49.0,18.0,394.0,11.0,4.0,4.0
A2ML1-AS1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,27.0,4.0,13.0,8.0,5.0,24.0,8.0,15.0,13.0,23.0
A3GALT2,0.0,4.0,21.0,0.0,1.0,6.0,0.0,2.0,3.0,0.0
A4GALT,969.0,1423.0,4422.0,265.0,4597.0,609.0,362.0,1388.0,890.0,1840.0
A4GNT,35.0,14.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AAAS,1710.0,1736.0,1015.0,1740.0,3846.0,3448.0,1402.0,2055.0,1862.0,1837.0
AACS,1449.0,1667.0,2139.0,2773.0,7713.0,1753.0,3118.0,2893.0,2675.0,2142.0
AACSP1,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
AADAC,57.0,35.0,2.0,19.0,7.0,7.0,11.0,0.0,24.0,25.0
AADACL2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AADACL2-AS1,29.0,0.0,23.0,13.0,3.0,13.0,2.0,4.0,2.0,1.0
AADACL3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,2.0,0.0,2.0,6.0,4.0,9.0,0.0,3.0,0.0,5.0
AADAT,225.0,100.0,259.0,289.0,238.0,424.0,112.0,150.0,313.0,136.0
AAGAB,3005.0,3439.0,5781.0,5961.0,7029.0,4408.0,2219.0,5806.0,5100.0,4276.0
AAK1,3455.0,1572.0,4297.0,3613.0,1921.0,1818.0,2795.0,2729.0,2986.0,2928.0
AAMDC,210.0,238.0,369.0,145.0,481.0,227.0,159.0,295.0,318.0,297.0
AAMP,4511.0,5595.0,11420.0,4170.0,14760.0,6519.0,2716.0,9042.0,7578.0,8125.0
AANAT,2.0,1.0,12.0,0.0,8.0,12.0,7.0,4.0,4.0,22.0
AAR2,2358.0,2328.0,6296.0,3439.0,5292.0,4620.0,1611.0,4815.0,4703.0,3140.0
AARD,144.0,144.0,6018.0,135.0,1066.0,648.0,735.0,1492.0,1938.0,504.0
AARS1,6539.0,5541.0,13245.0,7681.0,7002.0,10412.0,8914.0,5893.0,8401.0,16771.0
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,1000.0,994.0,1218.0,644.0,1857.0,1352.0,1365.0,1986.0,1113.0,1068.0
AARSD1,21.0,26.0,39.0,42.0,53.0,311.0,27.0,51.0,100.0,28.0
AARSD1P1,6.0,11.0,9.0,0.0,12.0,44.0,15.0,11.0,9.0,14.0
AASDH,640.0,464.0,780.0,1291.0,1164.0,503.0,470.0,804.0,829.0,691.0
AASDHPPT,1629.0,1166.0,2147.0,5049.0,2274.0,2094.0,1620.0,1514.0,1693.0,2297.0
AASS,611.0,483.0,405.0,922.0,891.0,1572.0,355.0,423.0,640.0,407.0
AATBC,67.0,110.0,83.0,2.0,93.0,27.0,123.0,194.0,77.0,326.0
