"","hsa_mir_135b","hsa_mir_190b","hsa_mir_224","hsa_mir_452","hsa_mir_577","hsa_mir_934","SCARNA6","SNORD93","DEPDC6","PA2G4P4","C7orf30","UBE2N","POU3F3","C1orf64","FAM177B","IQGAP1","FABP9","KRTAP3_1","MIR877","SEMA6B","LASS6_253782","C9orf116_138162","NFIL3_4783","MUM1L1_139221","RALGPS2_55103","PLA2G12A_81579","REPS2_9185","KCTD3_51133","SERPINB4_6318","KIAA1598_57698","MDP1_145553","IL20_50604","C9orf169_375791","BCAM_4059","INA_9118","KRT17_3872","HR_55806","UBE2U_148581","ANXA9_8416","TNFRSF10D_8793","FUT8_2530","CBX2_84733","ZNF799_90576","CPA4_51200","C5orf44_80006","METRN_79006","YBX1_4904","ACADSB_36","FLJ45983_399717","RAD50_10111","MED13L_23389","ADCY1_107","CHAD_1101","DLX5_1749","SLC7A8_23428","CYP4Z2P_163720","HRCT1_646962","HEXIM2_124790","SPIB_6689","CHRD_8646","RAP2A_5911","CAMKV_79012","RIPK4_54101","GPR3_2827","KCNK15_60598","SFRS12_140890","DAK_26007","SLC44A4_80736","HSD17B2_3294","FAM174B_400451","PLCG2_5336","PYY_5697","GALNT6_11226","MSN_4478","GPR139_124274","CNGA1_1259","CHRDL2_25884","C12orf66_144577","MYO5C_55930","SYNM_23336","BCL2_596","ZCCHC4_29063","IL32_9235","CBS_875","NDRG2_57447","RND3_390","BAIAP2L2_80115","MCCC2_64087","FRMPD2_143162","MFGE8_4240","PHKG1_5260","SCUBE2_57758","AMZ1_155185","C8orf47_203111","LBR_3930","PCDHB9_56127","CHST4_10164","KCTD6_200845","TGM5_9333","SAA2_6289"
"hsa_mir_135b",0,0.364952948501085,0.160539914432745,0.20821219068911,0.0772589460357533,0.359152532961863,0.306437937986164,0.0730168867234472,0.0741928862184629,0.390043026937288,0.114529902698344,0.0891316395939418,0.0900661517495452,0.049792208743287,0.227798117625243,0.183683744506205,0.0790273886218421,0.0597933410769171,0.26033716801886,0.0563688056482188,0.133396590859433,0.118749492696703,0.0724557318442432,0.00107208698920457,0.086801261144866,0.0347329619241915,0.0686637016010941,0.0426160899963566,0.0560791943464137,0.00348712421540608,0.00614753238821573,0.10345791364592,0.013758463594564,0.0219097640414234,0.0398802270566083,0.0871090898283738,0.0697758063881845,0.000414963841276992,0.162260839142083,0.00318930451960161,0.110441543807001,0.00168048561320455,0.000314988967932015,0.0928445657291149,0.00469169052951055,0.0169326619593026,0.0514618566672805,0.121696476838693,0.234416947441835,0.0170512392172588,0.000360664353456011,0.000253866363332782,0.0408948142161787,0.00352066774268701,0.140904476628635,0.0523579126845639,0.147679442384673,0.00397843549262197,0.0195641016964868,0.0667613890982602,0.00798976336101481,0.000391299102678911,0.0375006257161962,0.0582513735293711,0.161361117570123,0.0275986898960314,0.0273825184589229,0.189788819688266,0.0876924848681331,0.0977164995582477,0.135602189955042,0.0270376396825242,0.0653539493780565,0.0626209984981829,0.0393077030725814,0.111159998954409,0.0243465116118216,0.013861091090507,0.0568637501856457,0.0764263194485066,0.0197255531407948,0.00525468257556889,0.00251520241418843,0.000402461159752438,0.00946736658668176,0.00367179546540904,0.0235384220713315,0.162258161691286,0.00649793817466724,0.135907719114127,0.0106967867676283,0.156120548226102,0.000311422910558759,0.0647146607781413,0.0380493799608711,0.00149714727965896,0.0253007440634075,0.107692984561097,0.0682950409010826,0.00506628597164245
"hsa_mir_190b",0.364952948501085,0,0.306109218496248,0.420043032292428,0.143009088749741,0.893472827106477,0.727623514222098,0.185662084367325,0.17021857578794,0.954265947148103,0.280793345749044,0.229571285697972,0.21815538271568,0.126051756298917,0.547284874245763,0.417149797615076,0.186042947979504,0.146284588400545,0.625979460924345,0.13429598686903,0.321213443688345,0.289623513535933,0.173015031885916,0.00222096196502739,0.214306594293742,0.0770433411240171,0.162428066296239,0.103033980386967,0.135320834828912,0.00629058823416631,0.0107321528449841,0.266960011171368,0.0248033443940506,0.0530055626999952,0.0979092021542366,0.198520740159742,0.158419401670788,0.000298717936091966,0.396773069486939,0.00847422850098925,0.25726800439629,0.0047793183506871,0.00056640239770204,0.223428074150869,0.00978417153853384,0.0375658708162722,0.1369164003298,0.302451964699716,0.536275637487048,0.035886558396744,0.000656626148107842,0.000744273749471201,0.097519103415324,0.00910418036384042,0.350635639168521,0.123734069860013,0.346318248141284,0.00495560278877833,0.0510800394183305,0.160951831282795,0.0211414935789522,0.000782015934756004,0.094916149304582,0.145268781869635,0.389740471167461,0.0650079965409522,0.0561659102938142,0.478735484191535,0.211431652434405,0.227325843905672,0.331808203840074,0.0604172615403778,0.156839467029371,0.148796190808923,0.0898998416299627,0.258978298461252,0.0584841063195046,0.0234548225757561,0.141270149428609,0.182190788745826,0.0480260378999073,0.0104056275531956,0.00494920236702746,0.00113293497635968,0.0209694056724233,0.00961549040429823,0.0564877559684387,0.38173072127421,0.0172778043445897,0.326003899624583,0.0267904932017113,0.381322637943196,0.000785928003454028,0.164152711990976,0.0907660112273511,0.00248051965395162,0.0593343216895092,0.257316270851033,0.173246710258545,0.011262311485847
"hsa_mir_224",0.160539914432745,0.306109218496248,0,0.193444384353205,0.068984995266263,0.320301743399107,0.256182576930836,0.0602178659335983,0.0644806177329301,0.329967430465113,0.102552354175533,0.0817668641812075,0.0789007900456524,0.0464992811245949,0.195151189735059,0.151503131650579,0.0662290038592302,0.0577981969531013,0.23839578038215,0.0474304530914515,0.120085909529257,0.104589776496447,0.0619826890283177,0.000702097908341874,0.0768477069070855,0.0294906874516486,0.0576574561857645,0.0358081083453732,0.0470918210668555,0.00228526486771298,0.00616459261644501,0.0887859495463266,0.0119628035705344,0.0209756130449797,0.0338364437634027,0.0734866626962118,0.059582463079301,0.000234317484145786,0.147227592320074,0.00239230357798643,0.0941307012761553,0.00152278917137442,0.000159409410265808,0.08271986542484,0.00391429574130243,0.0156984337458577,0.0431736335557995,0.107251327220623,0.183690699370139,0.0139018475949752,0.000241834742606518,0.000212565002380123,0.0345228308981768,0.00236455438940827,0.116018946882485,0.044572311018858,0.125463414550642,0.00413745804224082,0.0155821130683233,0.0608535683752839,0.00750540962023005,0.00022921963281101,0.0328447115985428,0.0499043366090426,0.133230019223384,0.0236704430426737,0.0248953358246575,0.183025354714846,0.0790405990672374,0.0861221999137229,0.117827817360477,0.0246312392347141,0.0556860951849071,0.0516427916499183,0.0323150042471161,0.0971446834454528,0.0208005555515744,0.0113942039999374,0.0494570734838638,0.0628935646042588,0.0183593147395948,0.00503440846087712,0.00166502571540699,0.000237761512027614,0.00764829865293688,0.00281848306383945,0.0202040260744092,0.141578412797156,0.00537399332087771,0.116123431142901,0.00993743631424658,0.133836186515473,0.000172007169236202,0.0568668184037065,0.0332779782009977,0.00090468138298993,0.0212634193634474,0.098587871963139,0.0591380238806772,0.00483730131809485
"hsa_mir_452",0.20821219068911,0.420043032292428,0.193444384353205,0,0.0873838725234655,0.408514207343423,0.349046767817725,0.0784460977785315,0.0854541123651081,0.47041824946857,0.130767745575951,0.108363256445902,0.102470643907664,0.0564390781872169,0.263970333406382,0.200078118377164,0.0876165782134977,0.0794928559354965,0.293400323201713,0.0574538595267223,0.153785641471379,0.136934637208893,0.083459231489714,0.000922619595402072,0.0980321727344746,0.0381688164780595,0.0774400502873306,0.0457363104290599,0.0591210336019126,0.00316789180190859,0.00729699107510724,0.114754513128422,0.0152171411931238,0.0264265766982506,0.0417677178661118,0.0966995958257387,0.0782895079835593,0.000349012957322951,0.186560656316891,0.00361949466005859,0.119947108999784,0.00218078143924968,0.000281974562955435,0.111487254854243,0.00538873452898875,0.0191196668662157,0.0603019181034719,0.144386780785154,0.264754668440689,0.0187076897361322,0.000340823664036686,0.000257312426515731,0.0478518490594278,0.00302777784965087,0.162627105096638,0.0585055683862052,0.172445143325381,0.0047784409252655,0.0227498076588586,0.0741224042574015,0.0109642644171104,0.000174871388099466,0.046304763077595,0.0688549594286743,0.181724650559323,0.0308903477354866,0.0322482440647013,0.2289024202229,0.102374119000789,0.112914578569816,0.15323925573948,0.0308183241110867,0.0722879154385992,0.0701217697769179,0.0442842697808843,0.126884056161765,0.0260939935052117,0.0162026365127072,0.0670114549225997,0.0819731013144427,0.0238627843129339,0.00603253419263978,0.00292383232102617,0.000303650806039451,0.0117725560775805,0.00403748556552457,0.0266294032089366,0.18639140918526,0.0072190150556761,0.152587733995168,0.0149434910998942,0.175629213307701,0.000220154485464543,0.0777227084282238,0.0460569382789337,0.00139728569261221,0.028529387594604,0.131376916246502,0.0800601123272367,0.00691629629383499
"hsa_mir_577",0.0772589460357533,0.143009088749741,0.068984995266263,0.0873838725234655,0,0.1473496970127,0.138614331318073,0.0301894603010014,0.031010986173945,0.173235319742469,0.0469935334129087,0.04311315440905,0.0383067556719887,0.0218998763836363,0.092269603648642,0.0765571618465592,0.0334897547003476,0.0286185018486674,0.118048959747263,0.0232545368229322,0.0549336219820567,0.047576722305635,0.0338593293983685,0.000370038347951794,0.041607559504853,0.0132561896616011,0.0277234203839127,0.0166897588448608,0.0246542958527211,0.00139782872018741,0.0024551965358653,0.0475772316471817,0.00561871245206829,0.0096687201553678,0.0166489315816026,0.0365563488056166,0.0309286038075736,0.000192255315088125,0.0665931947514333,0.00125143793572025,0.0494918891906569,0.000859042464176911,0.00012929867607507,0.0401229374866334,0.00161331251610275,0.00779255362945117,0.023848886460755,0.051594190354005,0.0986526389904129,0.00607527223171396,0.000181231841542881,0.00014706299234372,0.0173428871168487,0.00159685034184235,0.0619668757974777,0.0218259073739144,0.0635702439557425,0.00180829166574213,0.00899375589265813,0.0301552237008873,0.00407286324966007,0.000174146981979426,0.0169574228395092,0.0266761676602646,0.0672606844970113,0.0104579508329446,0.0133484538549172,0.0892222346371795,0.0389102667771145,0.0433413219409279,0.0590058853840256,0.0112635631698445,0.027808905772474,0.0260030016861652,0.0171667324735886,0.046011099996118,0.0107857017460251,0.0054922604777334,0.0261184034563624,0.0331463675519385,0.00779078331972653,0.00218628205940546,0.000856362682302094,0.000201637210119418,0.00458764160241068,0.00162757439761896,0.0104262114888649,0.0661086174609572,0.00268206413636371,0.0575185968338119,0.00487100337748158,0.0657049960046513,0.000138434280608862,0.0291468261286999,0.0179350940689343,0.000627342863272146,0.0106129922351614,0.050253370865973,0.0317235011307586,0.00192912198414615
"hsa_mir_934",0.359152532961863,0.893472827106477,0.320301743399107,0.408514207343423,0.1473496970127,0,0.732887630743038,0.182912674733025,0.176088495073793,1,0.297520084618868,0.230418873689764,0.220992013377216,0.114745430888501,0.539818270080156,0.414571800951048,0.200596939204652,0.14754261651774,0.626819319643212,0.135282443472598,0.32735706966473,0.286757680005094,0.172346035827272,0.00205875269797577,0.218131188037882,0.0784871545468162,0.161081924898369,0.095253971524657,0.129309329708525,0.00612028691461529,0.0137103157390971,0.271405530068053,0.0291795213051258,0.0483078523081315,0.0949253192031084,0.215813168670142,0.170434037371932,0.000713943937661701,0.405352625504958,0.00759698568639227,0.262961616615806,0.00235342833410388,0.000175686352984302,0.223285649452104,0.00992703000109191,0.0360737685280759,0.127836433957543,0.307487859652684,0.555818779798005,0.0440761205541786,0.000539936555833705,0.000525147099043341,0.0937721526604708,0.00796970974033849,0.353194381444693,0.11908546358063,0.360733211229265,0.00810418061210928,0.0463615888246592,0.169689196307466,0.0190581550807125,0.0001152648933676,0.0939606957435214,0.147936213910281,0.396689408971942,0.0664282085730487,0.0673334527941337,0.466906065891624,0.226830237972334,0.247314377747089,0.333153692461808,0.0641159972718909,0.162526269239643,0.142057565259301,0.0891774416671409,0.275778044771777,0.0594457870976138,0.0319027766374522,0.138044683008338,0.190129904649462,0.0440204330299372,0.0113132900117499,0.00557337103787018,0.000459238476902116,0.0298572764491003,0.00891624056501139,0.0575263648755856,0.380849775186048,0.0138532200781521,0.32647108458113,0.026677465238136,0.405292545839115,0.00040312060277875,0.163571122294773,0.0964953496301715,0.00174619940076355,0.0607149491688374,0.278569492155552,0.168772340080465,0.0120518145398605
"SCARNA6",0.306437937986164,0.727623514222098,0.256182576930836,0.349046767817725,0.138614331318073,0.732887630743038,0,0.116082001260073,0.121296179311802,0.607928996730293,0.185056946722461,0.15449748124495,0.144103850340052,0.0844278408455726,0.353255736823159,0.291225632427196,0.127379722366329,0.106690221999967,0.42551012395719,0.0875325509236696,0.234277803242558,0.204830185793589,0.127520203602892,0.000972672732072213,0.158891194232981,0.0553275613143146,0.117214935629469,0.0731538236914557,0.0946029725787256,0.00543888127246037,0.00941136240332263,0.182514237068357,0.0190674373766721,0.0376079711785341,0.0689754823042153,0.150387404645279,0.114048523224776,0.000559996869825729,0.274565272906588,0.00592936153129543,0.191751810458587,0.00289370302371842,0.00049697003735918,0.154307902539727,0.00819546815562083,0.0273986758839282,0.0946621771078162,0.208698287879212,0.394190382364681,0.0278202339489036,0.000707792685454333,0.000475738554719836,0.0677648422876351,0.00571170305943575,0.243616026382932,0.0816942838800782,0.249609112695274,0.00471050959366307,0.0366382279932577,0.118655602384893,0.0150068722288403,0.000455890327961501,0.0682876415397549,0.102097142001433,0.284514186643356,0.047312077799384,0.0464181224556727,0.34470504796656,0.154499440364313,0.1658337961593,0.244518414794304,0.043379252290991,0.112013605303629,0.109506785191625,0.0644560757462776,0.189643328088378,0.04296887594929,0.0207020036039212,0.101610415615859,0.132119643763909,0.0319588963464263,0.00768165847185327,0.00449725450645863,0.000446715666959739,0.017126368491543,0.00582235886852888,0.0388447105514916,0.28195099603515,0.0108218877828779,0.231069028187016,0.0202096145069808,0.271111568333246,0.000452529774496861,0.113247802021499,0.0685850299539832,0.00177921089996418,0.0411947716205519,0.194179928004682,0.128378165384735,0.00947626846546521
"SNORD93",0.0730168867234472,0.185662084367325,0.0602178659335983,0.0784460977785315,0.0301894603010014,0.182912674733025,0.116082001260073,0,0.033294894535986,0.149044002716476,0.0523495700696176,0.041787757443541,0.0425381960426921,0.0219786366648083,0.0905809601357919,0.072541069987638,0.0340779683860769,0.0269648501012056,0.108862091739066,0.0237221030037169,0.0581905962430541,0.0508325457572436,0.029984820201254,0.000428150378271445,0.0370642212706653,0.0139118670217214,0.0284271083489266,0.0178612683668244,0.0236213658888617,0.00137062085929581,0.00247501440740637,0.0473331210147104,0.00505289748208218,0.00890088042875721,0.0169621662536069,0.0351738468330004,0.0271731968170332,7.4837664031664e-05,0.0696994863744044,0.00117692271930633,0.045782094792777,0.000618521689823065,0.000106550236781339,0.039039019523033,0.00165454676732782,0.00643340114355078,0.0224890439994477,0.0523791294740612,0.0964699915363871,0.00709163877154876,0.00012403187009654,8.94957011699471e-05,0.0172108870539262,0.00133338482285716,0.0612687549429286,0.0224334521808899,0.0605553815519752,0.0013603196535937,0.00832181224176666,0.0282133787373693,0.00345478398362852,0.000114837664729198,0.0160384412880615,0.0260561207618088,0.0667415807033613,0.0116581526710404,0.0112482321813344,0.0852702463262872,0.0360929164175064,0.0404968348308857,0.0548103330836245,0.0112369012935098,0.0274505525387566,0.0244747223436476,0.0155302678236707,0.0451435557667393,0.0100761663290721,0.00508484230789002,0.0250070023711709,0.0318056436537264,0.00824121433733891,0.00202291027195797,0.000899981637041223,0.000162490994150672,0.00385065338641814,0.00152392812397575,0.0100457692754281,0.0678038862944884,0.00263674021885441,0.0565177459647488,0.00444630239007438,0.0681193554017786,0.000139247299834674,0.0279374455241144,0.0162067614760354,0.00035973077127683,0.0105549946045086,0.0497198015229012,0.0288120647502679,0.00179747336301261
"DEPDC6",0.0741928862184629,0.17021857578794,0.0644806177329301,0.0854541123651081,0.031010986173945,0.176088495073793,0.121296179311802,0.033294894535986,0,0.151975201998592,0.0480313615243478,0.0402535822701604,0.0401811749496815,0.021197759635664,0.0887070606825246,0.0696484714475332,0.0327793754077463,0.0261649749765851,0.10141437676303,0.0228242121059896,0.0558397182331469,0.0491205437716608,0.0303117984513757,0.000360336148078996,0.0381192996842431,0.0140639522240098,0.0287374860421649,0.0168947850072165,0.0233555227995037,0.00111177920552363,0.00249641322582356,0.044399997465986,0.00503621210353895,0.00854460431676491,0.0163673372781976,0.0353862894317732,0.0282585729456021,5.21547350661596e-05,0.0707240869617852,0.00113998502651888,0.0432643303931827,0.000600106672416084,6.83645853261795e-05,0.0399900076419614,0.0017467343287768,0.00666700785185314,0.0207153907155457,0.0505499577776559,0.0912363439942405,0.00686564535615799,0.000100157680363048,8.51953021709724e-05,0.0167763111633124,0.00124294401694403,0.0600084434891299,0.0203017286666425,0.0608570817995039,0.00131635571406213,0.00824916358923999,0.0287243992070444,0.00333032084429534,9.3041867766715e-05,0.0159037394624864,0.0241521360709865,0.0656353385254189,0.0111302336975029,0.0111258842824636,0.0813227786743557,0.0361689753168646,0.0399138375214437,0.0560371716327861,0.0110106651276614,0.0267600491609132,0.0246559081658537,0.0157735485580911,0.0454382491588164,0.00996730546892265,0.00533973711880992,0.0244971580008884,0.0299007212617364,0.0082968589899488,0.00206036236263431,0.000897146160011091,0.000142136806395589,0.00395151528002181,0.00142439051198088,0.00986057368109247,0.0655853438494521,0.00249724156182506,0.0537547559318116,0.00468241596762597,0.0642432520460032,0.000102437125138949,0.0287059870318487,0.0165117892692155,0.000381725742860302,0.0100792481104312,0.042418938405519,0.0280470036597566,0.00196772794474048
"PA2G4P4",0.390043026937288,0.954265947148103,0.329967430465113,0.47041824946857,0.173235319742469,1,0.607928996730293,0.149044002716476,0.151975201998592,0,0.234833714398219,0.18957104584143,0.178617239233024,0.10962744311681,0.442921879830353,0.328171864716135,0.160337000532202,0.129860154806418,0.50828750022801,0.111340790128043,0.295276438927591,0.271299668978932,0.165263574058613,0.00155871657406082,0.198207562316678,0.0760569206639021,0.146674209334506,0.0885495022065618,0.119985427012775,0.0028253748527438,0.0103188222923709,0.243415331400609,0.0254381536975105,0.0484278073820053,0.0869027848929576,0.187884895384468,0.163265886978529,0.000503991312883915,0.389116506049539,0.00832121247732472,0.237799892269105,0.00374866616855549,0.000100407243842517,0.211561753174569,0.00961459408670271,0.0329016369597953,0.122338555543496,0.287598440892884,0.506280612406077,0.036680409785738,0.000377550062828521,0.000569253603665911,0.0857431225377639,0.00830225667577537,0.317255383619379,0.112985411220627,0.35004075074647,0.0066525459706617,0.0500692738839722,0.143877455979783,0.0197121551977653,0.00039778205627416,0.0908618950421981,0.139164073141253,0.366607973485993,0.0610329149032037,0.0584084550706482,0.457854920380594,0.210555763952692,0.227891768657615,0.320161233205096,0.0606501843104653,0.141782481626892,0.144345430993039,0.0860520461687996,0.256023768352435,0.0543620662035469,0.0266677771614862,0.131411197773973,0.172403755963124,0.0425549480494761,0.00941411963580753,0.00642171138824079,0.000623140956719914,0.0252517209418632,0.00897673831540736,0.0544608276517499,0.35939208390653,0.0125306584059773,0.309421627482549,0.029396623277583,0.365751213418979,0.000213352488584976,0.155048294148527,0.0904091545720797,0.00251200922215377,0.0541583560018122,0.251128377284716,0.156150685813644,0.0131312077024075
