"","hsa_mir_135b","hsa_mir_190b","hsa_mir_224","hsa_mir_452","hsa_mir_577","hsa_mir_934","ABCC11","ZFR","FXR1","CSAD","SNORA8","HIST1H1A","MXD3","BIN2","SNX10","TFF1","ZBTB43","RALB","LEMD2","RPL22L1","LOC727677","CCDC90B","CHI3L1","LOC145837","PA2G4P4","MIR877","C14orf72","FAM177B","SNORA18","REP15","IQCG","MIR1914","IAPP","LOC100130331","LOC100132215","MIR135B","NEURL2","FUT4","SCARNA6","KIAA0196","LOC440335","AGR3","TTC36","UBR2","GRPEL2","MLPH","LOC401127","SPP2","MIR647","TLR1","ARHGAP28","IGFALS","ENO1","MIR563","MIA","IL17RA","LRRC47","C3orf16","MIR1304","GOSR1","RFESD","MIR1280","UGT2B11","A2LD1","GPR37L1","WWP2","CTSA","CDH26","CMBL_134147","BCL11A_53335","AGR3_155465","FOXC1_2296","TFF3_7033","NAT1_9","C6orf97_80129","DEGS2_123099","AGR2_10551","GABRP_2568","GATA3_2625","PRR15_222171","GPR77_27202","SPDEF_25803","FLJ45983_399717","PPP1R14C_81706","ESR1_2099","ZMYND10_51364","THSD4_79875","MLPH_79083","VGLL1_51442","RGMA_56963","STAC_6769","KCNJ11_3767","TBC1D9_23158","FBP1_2203","DNALI1_7802","CT62_196993","FOXA1_3169","MID1_4281","ERBB4_2066","TFF1_7031"
"hsa_mir_135b",0,0.354738538129495,0.149814462446391,0.198534299942565,0.114981825268364,0.342144075998334,0.0712832529751499,0.0565431757577972,0.0629521287563406,0.0749982407432282,0.0639319068218396,0.0687461259405695,0.0715037361612244,0.0615212032990602,0.0743451724041523,0.0884553006679893,0.0595008508825847,0.0850115989128962,0.0691212024929786,0.0539212151447171,0.0624319831424551,0.0756509780065983,0.0625926198548024,0.100441259334695,0.102362256687092,0.0720504502787165,0.0748475582097576,0.0630791147294482,0.0836758494578088,0.106787201702441,0.0548091303916689,0.0698395822753301,0.0592950279191363,0.066920934085055,0.077896140590747,0.0606605357312689,0.0577643327052775,0.0651041549850802,0.0809481831865748,0.0866815166138431,0.062409415068778,0.0923459878097493,0.0537531123982414,0.0562147773028203,0.0676495059151477,0.0578845386106597,0.0605090286109369,0.063551484255141,0.0679067101773255,0.0636113974999227,0.06183853992681,0.0634447523926022,0.0650079253385078,0.093890426601222,0.0892195285507823,0.0870486062566304,0.0665640014732424,0.0564487779919209,0.0807724596730085,0.062253524264829,0.0559585016669421,0.0819416843955384,0.0662153465989898,0.0567688927389565,0.0602957361658819,0.0597021772323994,0.061206342608692,0.0631348260234863,0.141842168095849,0.133704789737233,0.148989455700405,0.17821975271809,0.124009541688432,0.060197433643199,0.0916723646037664,0.0913959070781747,0.130434222355181,0.0619000336408771,0.175793401029829,0.10620311240173,0.0553206096445785,0.0822670818327108,0.0858596039190102,0.111561531225531,0.187925736885176,0.0635045800819391,0.111936300993591,0.153870543447926,0.0867517016712611,0.101276871660494,0.0795292732118121,0.0727688990398821,0.074797411257571,0.0920503071225396,0.0542237442754309,0.109073067176129,0.228308628158591,0.0809960854790262,0.0956943723811312,0.0972287857431487
"hsa_mir_190b",0.354738538129495,0,0.329149442400777,0.453167427205035,0.261337362363811,1,0.198322328029913,0.15653895858328,0.176892646945341,0.211757225165776,0.176963867923393,0.185616878583779,0.202108646954839,0.166369366705729,0.212231276436942,0.244084352298613,0.165414267847463,0.249869871341947,0.193425591609976,0.15487716720769,0.181126115169278,0.216134916645236,0.164338791933038,0.293974860469703,0.294288336022369,0.208821550751239,0.198083106206771,0.173383608996581,0.226805269661085,0.312263091086062,0.147339318048289,0.18479713712259,0.166753596768768,0.18905211710794,0.227479311434848,0.168461744153658,0.159907291045598,0.172957351252999,0.224693018113469,0.223761339223621,0.167075913253377,0.25668086731579,0.152667499649934,0.158488346990253,0.186743760796999,0.165282799461108,0.172882923364964,0.177382694894223,0.191194089781095,0.184562622247265,0.178708945573445,0.17449973222719,0.174502766606367,0.265253475761567,0.244687035407153,0.235315035647232,0.186564403484658,0.159005744697592,0.224893295126398,0.169640811081545,0.158369695146339,0.228443336100104,0.198528753556577,0.158642481813751,0.163446642189996,0.167482856322756,0.170083023221486,0.189191078037993,0.36773094961771,0.384878020607239,0.439346423713803,0.474317873544398,0.340976619527761,0.169994076704791,0.256979833646627,0.241278462098891,0.364918625565294,0.187586080246564,0.465927201889063,0.322573907126694,0.161717671749502,0.224233897446035,0.251086573631503,0.299643820563081,0.558533013683355,0.172198396336947,0.321502075377441,0.40918496335707,0.248941165355423,0.283108064080159,0.223936761552578,0.205780032768869,0.212901572965192,0.2711820429844,0.166146045516797,0.314226489826772,0.597659034967045,0.2227486960886,0.269526091285994,0.269556654696362
"hsa_mir_224",0.149814462446391,0.329149442400777,0,0.205029338558419,0.112470379195953,0.33616461380665,0.0690393803570326,0.0536619833797125,0.0601445623406437,0.0704070050239594,0.0616718481854454,0.0664299151510367,0.06776418307083,0.0595064564258176,0.0667567096790103,0.0822317337996484,0.0576071074067842,0.0789450031682289,0.0646250396442906,0.0525789848174134,0.0580461240163824,0.0730488229017515,0.0614407161726863,0.0975750192197643,0.100120303200395,0.0684511442421217,0.0692748840437191,0.0587439769973767,0.0775290496108188,0.105746477239616,0.0523615845855156,0.0658907031378158,0.0570264839935581,0.0634884796780735,0.0737359285159368,0.0582041145109466,0.0532398792026008,0.0609179384003261,0.0750826277895308,0.0851457383621517,0.0615935705003009,0.0877350598903079,0.0517868501093726,0.0519021642963061,0.065714702710081,0.0581342732928291,0.0585995752168122,0.0623449566986065,0.0631092082155491,0.0605586265279229,0.0616473028511036,0.0592068321506649,0.0610734678862141,0.0902358767391301,0.0862321346763807,0.0824021562043028,0.0643969528234866,0.0538066172539293,0.0747887019112572,0.0598001587396694,0.0520146900508342,0.0796612020046552,0.0640610101546335,0.0540316281937545,0.0550190229461857,0.0555077426349857,0.057070258570757,0.0617983936799734,0.132352611631023,0.125279309633402,0.150002011924516,0.168846524816433,0.118902724733941,0.0545631563102737,0.0889496445838261,0.0877908494299186,0.122078158487226,0.0603677747790917,0.158007794297658,0.105050703788565,0.0543161919901868,0.0776521678527259,0.0808125817816256,0.0962701581280385,0.183613878494249,0.0582354353373296,0.106901836162128,0.142409849737679,0.0831208278488665,0.0931099361698879,0.0723948171448429,0.0710960433327843,0.0723876400704043,0.0914814034940001,0.0556609521860761,0.103349759601118,0.208749566369301,0.0792933115473598,0.0908601448717902,0.0960250896875035
"hsa_mir_452",0.198534299942565,0.453167427205035,0.205029338558419,0,0.14680772449954,0.433219278675442,0.0931158429215607,0.0705087129870472,0.0810634973903851,0.0941935556172229,0.0785551917699625,0.0875841680531799,0.0907859841323821,0.0814051776135819,0.0948743252897926,0.11187438922728,0.0776142890917357,0.109142333987508,0.0860072915946122,0.0722973584005735,0.0804116065729632,0.0962825611982929,0.0798937234187407,0.142162981676432,0.134140197394029,0.0962883687123026,0.0908137471819222,0.0807425135167357,0.103048373014063,0.138070340502065,0.0681226558753385,0.0911479430514131,0.0746833967191277,0.0846801092805182,0.0995616522583236,0.0832977933252935,0.0749080111495937,0.0822273995955051,0.10233394593783,0.109924730454835,0.0819692838103597,0.117413477937094,0.0638355157674908,0.0670657633025065,0.0884069193907722,0.0734961948165534,0.0759505506218751,0.0820450106680689,0.0830480769157855,0.0832041711817453,0.0849042657366474,0.080960392132528,0.0806737459421373,0.117918017513433,0.111981761574634,0.105485591506145,0.0904280582375589,0.0768794187373452,0.099719721578165,0.0771097394511772,0.0726364378002983,0.108722586083515,0.0878990651877578,0.0743394929886868,0.0753540750183441,0.0781282739826731,0.0768472779641843,0.0838390115009891,0.174623287146402,0.170224846785584,0.198874562886689,0.224919877647016,0.157760966821369,0.075212049574316,0.120899570206495,0.116440233596034,0.16575543221101,0.0840529555828984,0.216678421938013,0.13683528980606,0.0732798558859287,0.105957592077375,0.112761106235294,0.133741923519362,0.235350329857362,0.0843557755212605,0.141759947253607,0.194272254089247,0.11006295698518,0.126044883646362,0.106669395495397,0.100390826737312,0.0965148181582573,0.119104420586836,0.0698247606650572,0.135185388082235,0.280721175357536,0.104406014157911,0.124864235008316,0.119666903742699
"hsa_mir_577",0.114981825268364,0.261337362363811,0.112470379195953,0.14680772449954,0,0.262651656582483,0.053457104193326,0.0438890210815375,0.0494376254435356,0.0577627271295369,0.0485954837539974,0.0529020432208119,0.0576582545765074,0.0457439035579461,0.0570977904090975,0.0708366161549412,0.0451287043958261,0.0679645875849241,0.0495013067623124,0.041228224369757,0.04722180939361,0.0591143861313936,0.0464901934853969,0.0749219677023992,0.0777801819527319,0.0549349522586688,0.0549335626958854,0.0466895108690205,0.0600291709419731,0.0824996572093539,0.0402115209269281,0.0522199836795416,0.0455829892040117,0.0512195119158827,0.0609818767305985,0.0486390164479536,0.0433734136226658,0.0494376894811777,0.0647943828998311,0.0648351757233019,0.0467090132123963,0.0693292599693342,0.0412884868200274,0.0405970187962955,0.0512009926445492,0.0434745081565521,0.0442814610438157,0.0515786739782951,0.0507344597282082,0.0479509789319121,0.0474116171742936,0.0446558518809749,0.0503101491654258,0.0704989039311243,0.0655733328638918,0.0664971531332801,0.0548273882253942,0.0426450655670644,0.0602769419900379,0.0462079700338123,0.0420853524059823,0.0635196561227272,0.0505865208633721,0.0448911138945017,0.0433359829675714,0.0469162604129564,0.0469255579379297,0.0479969914487008,0.100937134505257,0.103217430085586,0.113134116691441,0.144703464397141,0.0903436752468508,0.0437670484386727,0.0690223253679019,0.0673624629808176,0.09505514728591,0.0493914939575709,0.126072597105608,0.0866547541428627,0.0399738874624981,0.0635305182543777,0.06515131138225,0.0808825716584009,0.152854012181923,0.0474403092702921,0.0842032160576297,0.118910630375583,0.0722459657292056,0.0781401110312675,0.0599108766791488,0.0568837760252266,0.0576498204795664,0.0764926575379506,0.042929491556216,0.0863768290020017,0.165006208856764,0.0635032129542758,0.0716329024802742,0.0730630576291845
"hsa_mir_934",0.342144075998334,1,0.33616461380665,0.433219278675442,0.262651656582483,0,0.199626037295257,0.14628066931108,0.174872178950227,0.202747695815176,0.17044637810368,0.187404119137333,0.207292055974038,0.168041785327192,0.205777376005031,0.241535782221932,0.163925815153025,0.236172242331725,0.188755028380852,0.152131614568274,0.17131455015969,0.226533168602967,0.16868807525759,0.293544977384116,0.281807068445736,0.201480888209606,0.196756186864534,0.176665957272898,0.222704610179715,0.29303446983483,0.149579218116601,0.188335299534824,0.161893396369502,0.177335036317329,0.216292905690463,0.171383459913415,0.160601073082798,0.177546408584875,0.227869032565522,0.240726900313357,0.170226174959362,0.252848927241169,0.15187098809507,0.160805614889053,0.188905665052847,0.156724586656036,0.170834355724881,0.168465176499024,0.175204718254393,0.17939153559425,0.175013617204231,0.171257235751828,0.171952407853071,0.254221608295059,0.257651805124657,0.234847061806791,0.184105577373458,0.152088889454223,0.21685329094339,0.167552242735395,0.151584888124668,0.239789746606948,0.204425584382953,0.157083314528155,0.162280878694954,0.170115977530198,0.161566078742149,0.177531871752261,0.356770702642653,0.37342086887209,0.434722180169095,0.488349146908723,0.341491748041756,0.161842889520093,0.257060063093103,0.254246644619149,0.364077256568212,0.188548409964138,0.459830095856123,0.300621376389664,0.153992185355719,0.220695263650831,0.243502973586227,0.303734963281164,0.521569167062758,0.174007618879082,0.300795311750016,0.411536582930276,0.261973021673289,0.279788476241447,0.231232651389391,0.210778961672945,0.206187156988901,0.281623040305793,0.150965881077035,0.298668834493933,0.605001954563386,0.224133911415427,0.261622695161434,0.266987637775138
"ABCC11",0.0712832529751499,0.198322328029913,0.0690393803570326,0.0931158429215607,0.053457104193326,0.199626037295257,0,0.0263474622508069,0.0308802486996936,0.0335634615054095,0.0308127940942936,0.0335741495473114,0.0351771842694478,0.0298367744350423,0.0342337495343864,0.0415874354931343,0.0290703015182877,0.0409652521318293,0.0319462305049645,0.0266292022320112,0.0304262151937964,0.0378258952510658,0.0285154677236565,0.0486576641874278,0.0477978882958439,0.0347529532847851,0.0327976139888812,0.0299803571655154,0.0394736752381928,0.0520906325492313,0.0253666613000069,0.0334049807021196,0.0287797436865083,0.0318868644504291,0.0385358376451222,0.0287917104262461,0.0282514300229454,0.0319446417635816,0.0394582505818647,0.0413652534796313,0.0291169906898149,0.0448634611953358,0.0263361959507875,0.026414876967571,0.0325040304290741,0.0278816967464076,0.0292626241245493,0.0304343347693862,0.0326590346434616,0.0320124542765732,0.030681382064859,0.0286240838620399,0.0307542333119843,0.0445121198717369,0.0428599382683645,0.0412728549708985,0.0326355804034572,0.0269887234639633,0.0382045801618574,0.0308441368048951,0.0269632590753704,0.0416462545444088,0.0334056717011115,0.0276152717440196,0.0279421819437824,0.0295317087762724,0.0289683752521074,0.0326201062637004,0.064182169054933,0.066511381090336,0.0745164343521219,0.0870852115991284,0.0572480814876352,0.0277730205192423,0.0464529468461742,0.0438989193898594,0.0622560677424107,0.0323533314919835,0.0793955477515012,0.0546942541343362,0.0274939231631351,0.0382828433121477,0.0423055089528981,0.0519113442160619,0.0920114815095683,0.0301390398908326,0.0535731242812301,0.0726925052778126,0.0433547524371235,0.0489212159252382,0.0389749712309268,0.0360607461814883,0.0355576613262355,0.0478526548568754,0.0280933953385685,0.049777813565162,0.102327031247157,0.0406686387773876,0.0453248299262123,0.0454699569661262
"ZFR",0.0565431757577972,0.15653895858328,0.0536619833797125,0.0705087129870472,0.0438890210815375,0.14628066931108,0.0263474622508069,0,0.0232700359791197,0.0279557895547308,0.0230072794325477,0.0266058730519635,0.0267160955156659,0.0222713619615016,0.0276360810532099,0.0327507608055886,0.0222763919637144,0.0325678270022452,0.0252657341724116,0.0198993355126388,0.0235690666738742,0.0287326606596479,0.0224625802287181,0.0397408239158362,0.039215323755304,0.0271960206027326,0.0261253983591622,0.0231817219357709,0.0296975659439189,0.0409698232656428,0.0198440791890173,0.0259095042604317,0.022252668632388,0.0248487036591356,0.0292393223117643,0.0228911356687005,0.0210282689276159,0.0239287043233324,0.0298023298878606,0.0311611024555472,0.022424888065689,0.0341551112978908,0.0197072234094373,0.02080827002993,0.0249000682596098,0.0217233169265985,0.0230962984751572,0.023480221781255,0.0249012924540753,0.0237047487113925,0.0237204950601472,0.0224903204252576,0.0234410517525779,0.0340166344658507,0.033017879104285,0.031090965897885,0.0254894363154817,0.0208011247138383,0.0289950787580251,0.0228452552892634,0.0201383300762442,0.0298329297465364,0.0262962820334386,0.0208034376777109,0.0211138681284512,0.0220422663126822,0.0215182532164089,0.0240911362741526,0.0501103014148217,0.050258941405392,0.0588466757342397,0.065881635073506,0.0461240754022615,0.0216261090721257,0.0343187603141626,0.033241554062297,0.0498124386177812,0.0246715141634832,0.061756800236528,0.0404192952550368,0.0207208576380092,0.0300577815172016,0.0319743699011279,0.0394684437378599,0.0722713835237443,0.0233148556734438,0.0409349711700305,0.0549504086340836,0.0332748041887958,0.0368161986514561,0.0297366213424635,0.0273964600906022,0.0277012083357257,0.0366074792471126,0.02122284444287,0.0411704083284903,0.0817427346713038,0.0300290237218965,0.0353881460944928,0.0356925742669917
"FXR1",0.0629521287563406,0.176892646945341,0.0601445623406437,0.0810634973903851,0.0494376254435356,0.174872178950227,0.0308802486996936,0.0232700359791197,0,0.0315528796123294,0.0267672325859511,0.0290948346743274,0.031106746875622,0.024837050188888,0.0326078494344122,0.0382404686886456,0.0261660842630556,0.0364380895503964,0.0287218117611774,0.0240358856100314,0.0268398726873333,0.0333488350519285,0.0254059178200731,0.0450860000914215,0.0444561140536128,0.0319965840666466,0.0306951609107049,0.026317779946015,0.0340742042773341,0.0452833839004098,0.0237238238256656,0.0292663624349629,0.0261034056971006,0.0277085080496659,0.0332888208295985,0.026014235054688,0.0241635867280502,0.0267788387370236,0.0350763887381029,0.0373160037053377,0.0259236384492772,0.0387366425698317,0.0238303411936988,0.0233977823310502,0.0293614530996614,0.024972240950926,0.0257515770181959,0.0268321264761922,0.0285843636182796,0.0281073047772142,0.0270522005312964,0.0268351870371219,0.027283322650751,0.0401305128396324,0.0389664638451889,0.0355626738051702,0.0287457423239509,0.0240292121791268,0.0331226628873147,0.0266797311543771,0.023903493276152,0.0350453620060985,0.0291989253471778,0.0247453555352159,0.0246658045563521,0.026375552566472,0.0265194610534055,0.0278307255230395,0.0574113253333072,0.0566068796872229,0.0675312224951028,0.0777132321474559,0.0518442334664199,0.0247483349077261,0.0392085692405815,0.038161873205091,0.057485228988713,0.0275737180280065,0.071765073143024,0.0481428612829677,0.0233509849116348,0.0336379114585291,0.0370785246294552,0.045641063791021,0.0829720786606796,0.0263632334142136,0.0486130034852685,0.0642556296471786,0.0384129802434996,0.0429218125289075,0.0352150722116942,0.0328890188993923,0.0314984559301372,0.0416921032185181,0.0237826450245545,0.0456073499948188,0.0911410885045754,0.0340195502339083,0.0413679604964662,0.0403793327451359
"CSAD",0.0749982407432282,0.211757225165776,0.0704070050239594,0.0941935556172229,0.0577627271295369,0.202747695815176,0.0335634615054095,0.0279557895547308,0.0315528796123294,0,0.0314084442031086,0.0345094359954897,0.0374423389835626,0.0289634341819327,0.037776383522454,0.0448275478742423,0.0296139094655811,0.0446012825825455,0.0342297610892994,0.0275567886636613,0.0311875907209514,0.0399756733255519,0.0307336155221912,0.0514506614464666,0.0536727747197241,0.0370254737201539,0.0362431274628231,0.0319654646625691,0.0411521100379983,0.0557393945685583,0.0278528045468564,0.0343563977525782,0.029769914216918,0.0324027641667431,0.0391493386091799,0.0308136521991654,0.0280880031671941,0.0302243743699979,0.0424488441361641,0.0425755682779623,0.0308273646959115,0.0468383772618584,0.0273881154251067,0.027915218257415,0.0332278140241852,0.029655382057672,0.0300465866120465,0.0324533406631715,0.0318540487808407,0.0319519854582844,0.0319708078050815,0.0315176802428978,0.0324193556019365,0.0476347261601211,0.0441657915121868,0.042680831143369,0.0331413835812723,0.028555170738722,0.0385822904751481,0.0305769243250018,0.0278200417313541,0.0409340385708539,0.0360135607598857,0.0279993138979701,0.029680313104972,0.031338890627106,0.0309195952118143,0.0325065130710667,0.0657519118938973,0.0661362886541513,0.0793697459646643,0.0860107980834537,0.0591017110827858,0.0293212847393521,0.0451099175922841,0.0463685607964059,0.064979360668117,0.0334488190654105,0.0837660241733465,0.0561578220578232,0.0289280545916941,0.0406364935997322,0.044348861386481,0.0544112091993137,0.0992943328410302,0.0319298010864613,0.0556175285102848,0.0743897583312739,0.0446950313566444,0.0513946883737649,0.0407236034450139,0.0369846516429829,0.0392607369577491,0.0482209011482879,0.0286257608678726,0.0557036020391563,0.10601142491259,0.0407465768669312,0.0493709212601315,0.0490175595160619
