"","ZNF184","TMEM116","FLRT1","TRA2B","SLC9A3R1","FAM25C","BAIAP2L1","MIR1249","SLC12A7","GBGT1","SNORA51","SLC39A6","SLC35E4","ZSCAN21"
"ZNF184",0,2.38087536974128e-06,3.62225547648235e-07,1.26861061173198e-06,9.98334282482045e-07,8.70971737935549e-07,1.19113360324742e-06,1.93001408978798e-06,5.84433355900568e-08,1.45678004973119e-07,2.13114091250669e-07,7.51443184596055e-07,1.96657016210228e-06,5.17216673769045e-07
"TMEM116",2.38087536974128e-06,0,2.32596653447622e-07,1.31622868279815e-06,1.10682488993759e-06,9.6501576259088e-07,9.96984147309519e-07,1.53074106155057e-06,3.11421187816646e-08,1.66389686144861e-07,2.85765713426866e-07,7.75260536897451e-07,2.69301975233156e-06,3.70638572370258e-07
"FLRT1",3.62225547648235e-07,2.32596653447622e-07,0,2.34247819395061e-07,1.12489437878607e-07,1.60053946052453e-07,2.32735321809334e-07,3.70327181124071e-07,2.55169487214261e-08,4.24813961483089e-08,5.53274590600901e-08,9.85523777387856e-08,2.64744423162751e-07,1.01272259135256e-07
"TRA2B",1.26861061173198e-06,1.31622868279815e-06,2.34247819395061e-07,0,5.94633790212472e-07,4.782656723201e-07,6.74313806278502e-07,1.04148914388864e-06,4.18481140179571e-08,1.05485893517894e-07,1.68330046363171e-07,5.51402592031736e-07,1.01871414046228e-06,2.25921444336242e-07
"SLC9A3R1",9.98334282482045e-07,1.10682488993759e-06,1.12489437878607e-07,5.94633790212472e-07,0,8.21741904471647e-07,5.39774049264039e-07,1.30944680167065e-06,1.27022780572024e-08,8.64302886268674e-08,9.46184540593386e-08,4.35050976337832e-07,1.24554604967414e-06,1.75211299880871e-07
"FAM25C",8.70971737935549e-07,9.6501576259088e-07,1.60053946052453e-07,4.782656723201e-07,8.21741904471647e-07,0,5.65571361988675e-07,9.08981298388295e-07,3.37311417594069e-08,1.0653000320564e-07,1.22486819162305e-07,2.86241133099293e-07,9.66357019064397e-07,2.91780131967182e-07
"BAIAP2L1",1.19113360324742e-06,9.96984147309519e-07,2.32735321809334e-07,6.74313806278502e-07,5.39774049264039e-07,5.65571361988675e-07,0,1.17295826890181e-06,7.20988141543801e-08,1.18191888688891e-07,1.5535359707745e-07,3.83061426024998e-07,1.19414050831007e-06,3.30770011378912e-07
"MIR1249",1.93001408978798e-06,1.53074106155057e-06,3.70327181124071e-07,1.04148914388864e-06,1.30944680167065e-06,9.08981298388295e-07,1.17295826890181e-06,0,9.08932658598694e-08,1.68605927960637e-07,2.02007792992532e-07,6.62171678234868e-07,1.92642536414547e-06,4.04134135843745e-07
"SLC12A7",5.84433355900568e-08,3.11421187816646e-08,2.55169487214261e-08,4.18481140179571e-08,1.27022780572024e-08,3.37311417594069e-08,7.20988141543801e-08,9.08932658598694e-08,0,1.13280900601023e-08,9.71364965979265e-09,3.16338312169062e-08,1.13769258278347e-07,2.30296691012648e-08
"GBGT1",1.45678004973119e-07,1.66389686144861e-07,4.24813961483089e-08,1.05485893517894e-07,8.64302886268674e-08,1.0653000320564e-07,1.18191888688891e-07,1.68605927960637e-07,1.13280900601023e-08,0,3.23820302240188e-08,3.44044482375532e-08,1.87988826782892e-07,4.66721440163096e-08
"SNORA51",2.13114091250669e-07,2.85765713426866e-07,5.53274590600901e-08,1.68330046363171e-07,9.46184540593386e-08,1.22486819162305e-07,1.5535359707745e-07,2.02007792992532e-07,9.71364965979265e-09,3.23820302240188e-08,0,6.10836599452108e-08,2.59852729468923e-07,5.54668791087726e-08
"SLC39A6",7.51443184596055e-07,7.75260536897451e-07,9.85523777387856e-08,5.51402592031736e-07,4.35050976337832e-07,2.86241133099293e-07,3.83061426024998e-07,6.62171678234868e-07,3.16338312169062e-08,3.44044482375532e-08,6.10836599452108e-08,0,7.18304727262499e-07,1.5783331769308e-07
"SLC35E4",1.96657016210228e-06,2.69301975233156e-06,2.64744423162751e-07,1.01871414046228e-06,1.24554604967414e-06,9.66357019064397e-07,1.19414050831007e-06,1.92642536414547e-06,1.13769258278347e-07,1.87988826782892e-07,2.59852729468923e-07,7.18304727262499e-07,0,4.54523158909978e-07
"ZSCAN21",5.17216673769045e-07,3.70638572370258e-07,1.01272259135256e-07,2.25921444336242e-07,1.75211299880871e-07,2.91780131967182e-07,3.30770011378912e-07,4.04134135843745e-07,2.30296691012648e-08,4.66721440163096e-08,5.54668791087726e-08,1.5783331769308e-07,4.54523158909978e-07,0
