"","TPSG1_25823","ZNF552_79818","A2ML1_144568","HRCT1_646962","DSC2_1824","LEMD1_93273","TCEAL1_9338","SYTL2_54843","IGF2BP2_10644","GAL_51083","TMPRSS6_164656","LDHB_3945","GAMT_2593","LMO4_8543"
"TPSG1_25823",0,2.02782555203653e-06,6.53704522581984e-08,4.96313401769709e-06,1.04917678998982e-06,1.80966702582028e-06,2.08842387656369e-06,1.6613077802455e-06,7.96595903664199e-06,6.38290311300085e-06,2.82218894711942e-06,4.17447238493037e-06,3.89647900432459e-06,3.3842445609579e-06
"ZNF552_79818",2.02782555203653e-06,0,3.22620951356271e-08,1.59345747200735e-06,6.32965750729838e-07,8.93119868900694e-07,8.16792658134912e-07,9.47215753095446e-07,2.56649540642138e-06,2.42538123503487e-06,8.62579099249235e-07,2.46645932902155e-06,1.55939010914285e-06,1.94099505972841e-06
"A2ML1_144568",6.53704522581984e-08,3.22620951356271e-08,0,4.55150144929198e-08,1.3546418902809e-08,2.8791258544004e-08,2.63307193312719e-08,2.64309075314741e-08,8.27354035793966e-08,6.93971626127913e-08,2.78067241877699e-08,6.64146011418075e-08,5.02696282622804e-08,5.3842313939777e-08
"HRCT1_646962",4.96313401769709e-06,1.59345747200735e-06,4.55150144929198e-08,0,1.27531195602689e-06,1.48876773006836e-06,1.23732304410012e-06,1.46136818665902e-06,6.69070888273375e-06,6.45004617019805e-06,2.15902082910048e-06,4.73579103668992e-06,2.21619429881305e-06,3.57188362703606e-06
"DSC2_1824",1.04917678998982e-06,6.32965750729838e-07,1.3546418902809e-08,1.27531195602689e-06,0,3.75008995035485e-07,3.42960228011223e-07,7.01265945504005e-07,1.30590243156e-06,1.85770871293814e-06,4.66453424228128e-07,2.00419265858391e-06,6.54766888589911e-07,1.46058301592248e-06
"LEMD1_93273",1.80966702582028e-06,8.93119868900694e-07,2.8791258544004e-08,1.48876773006836e-06,3.75008995035485e-07,0,7.2892006853074e-07,7.31693604218793e-07,2.5135088697847e-06,2.19812510078411e-06,7.69780690210469e-07,2.06462326383539e-06,1.39590567590614e-06,1.64022213336049e-06
"TCEAL1_9338",2.08842387656369e-06,8.16792658134912e-07,2.63307193312719e-08,1.23732304410012e-06,3.42960228011223e-07,7.2892006853074e-07,0,6.69162096534473e-07,2.23893601415705e-06,1.86333434496653e-06,7.03994209547528e-07,1.68144562148048e-06,1.62077462024591e-06,1.42661976534378e-06
"SYTL2_54843",1.6613077802455e-06,9.47215753095446e-07,2.64309075314741e-08,1.46136818665902e-06,7.01265945504005e-07,7.31693604218793e-07,6.69162096534473e-07,0,2.10261616556225e-06,2.22115058293414e-06,7.06672902519034e-07,2.36953639783015e-06,1.27753934166337e-06,1.82271136688428e-06
"IGF2BP2_10644",7.96595903664199e-06,2.56649540642138e-06,8.27354035793966e-08,6.69070888273375e-06,1.30590243156e-06,2.5135088697847e-06,2.23893601415705e-06,2.10261616556225e-06,0,9.00407303188886e-06,3.47032483838261e-06,6.22888600088591e-06,4.01484380039579e-06,5.06711093800641e-06
"GAL_51083",6.38290311300085e-06,2.42538123503487e-06,6.93971626127913e-08,6.45004617019805e-06,1.85770871293814e-06,2.19812510078411e-06,1.86333434496653e-06,2.22115058293414e-06,9.00407303188886e-06,0,2.89600063123502e-06,7.00079748125548e-06,3.48773616878465e-06,5.39723921372417e-06
"TMPRSS6_164656",2.82218894711942e-06,8.62579099249235e-07,2.78067241877699e-08,2.15902082910048e-06,4.66453424228128e-07,7.69780690210469e-07,7.03994209547528e-07,7.06672902519034e-07,3.47032483838261e-06,2.89600063123502e-06,0,1.7818698644702e-06,1.34403951398022e-06,1.45068331266139e-06
"LDHB_3945",4.17447238493037e-06,2.46645932902155e-06,6.64146011418075e-08,4.73579103668992e-06,2.00419265858391e-06,2.06462326383539e-06,1.68144562148048e-06,2.36953639783015e-06,6.22888600088591e-06,7.00079748125548e-06,1.7818698644702e-06,0,3.22618453835565e-06,5.51547315523531e-06
"GAMT_2593",3.89647900432459e-06,1.55939010914285e-06,5.02696282622804e-08,2.21619429881305e-06,6.54766888589911e-07,1.39590567590614e-06,1.62077462024591e-06,1.27753934166337e-06,4.01484380039579e-06,3.48773616878465e-06,1.34403951398022e-06,3.22618453835565e-06,0,2.61308706440932e-06
"LMO4_8543",3.3842445609579e-06,1.94099505972841e-06,5.3842313939777e-08,3.57188362703606e-06,1.46058301592248e-06,1.64022213336049e-06,1.42661976534378e-06,1.82271136688428e-06,5.06711093800641e-06,5.39723921372417e-06,1.45068331266139e-06,5.51547315523531e-06,2.61308706440932e-06,0
