"","ROPN1_54763","TTC36_143941","RARA_5914","CYP2B7P1_1556","LONRF2_164832","CACNA2D2_9254","MAGED2_10916","CHODL_140578","FABP7_2173","SCUBE2_57758","IL34_146433","TRIM29_23650","TSPAN1_10103","CCDC96_257236","MAPK4_5596","C6orf211_79624","C14orf174_161394","CRYAB_1410","MCCC2_64087","GFRA1_2674","TTC8_123016"
"ROPN1_54763",0,0.00103434783299063,0.000392463046439069,0.000177484860536618,0.000367363237757488,0.00094857553637335,0.000751516198923014,0.000951668860684759,0.000569755591841994,0.00134044909325905,2.91162538633457e-05,0.00142462397363649,0.000445407169308971,0.000366992723427372,0.000312357327196098,4.61414638398547e-05,0.000994516713367381,1.57417923131175e-05,0.000130063565347345,0.00109281253031317,0.000325859103622436
"TTC36_143941",0.00103434783299063,0,0.000435464161973577,0.000236414477041228,0.000417842376191196,0.0010820346197486,0.000983211017949339,0.00105196503198811,0.000619321855468315,0.00156791058654455,3.2559803681856e-05,0.00136870327363386,0.000513295807321815,0.00046952220969958,0.00039981027402002,5.74997494947003e-05,0.00111914040691309,2.44936090744629e-05,0.000200881793436907,0.00115173677068344,0.000425908285771813
"RARA_5914",0.000392463046439069,0.000435464161973577,0,8.5395754908413e-05,0.000205192119289096,0.000430826615742061,0.000367774214275132,0.000367368330978,0.000258485237714189,0.000568852714071008,1.5768623129825e-05,0.000522010514262369,0.000213408489836413,0.000209495227349898,0.000133576575800604,2.23266643838755e-05,0.000387578823868297,4.60608296803474e-06,6.65031322010532e-05,0.000467037725259227,0.000208952670656291
"CYP2B7P1_1556",0.000177484860536618,0.000236414477041228,8.5395754908413e-05,0,0.000115747482781698,0.000214144005700483,0.000214376168572557,0.000206148652424287,0.0001595504590203,0.000278010830835267,1.58671771359611e-05,0.000236685077926023,0.000127843734691765,0.000119236511657925,0.000111480544462517,3.3136779937214e-05,0.000198926315208915,1.39741671456452e-05,7.68907349107916e-05,0.000219990180610626,0.000119778919341458
"LONRF2_164832",0.000367363237757488,0.000417842376191196,0.000205192119289096,0.000115747482781698,0,0.000444450651296136,0.000376206422945015,0.000426478936579819,0.00029200963982752,0.000600302518912629,1.94339287634571e-05,0.000507541551645594,0.000215089198994538,0.00020687981754024,0.000139002463819082,2.58212695023117e-05,0.000412211027496091,5.9359121328505e-06,8.56506686751238e-05,0.000488154463572795,0.000186345086375027
"CACNA2D2_9254",0.00094857553637335,0.0010820346197486,0.000430826615742061,0.000214144005700483,0.000444450651296136,0,0.00100330552734532,0.00102275403873614,0.000613817672768769,0.00156475606360164,2.64921798766708e-05,0.00145873097589014,0.000475324952520026,0.000409950827534469,0.000342527329810503,6.29674889554108e-05,0.00110562909176802,2.46544602998521e-05,0.000156503516003864,0.00117660114624824,0.000410218321172867
"MAGED2_10916",0.000751516198923014,0.000983211017949339,0.000367774214275132,0.000214376168572557,0.000376206422945015,0.00100330552734532,0,0.000857779897175446,0.000555866507807973,0.00137758282203856,3.41614753433543e-05,0.00123844559895686,0.000451922385529631,0.000435725278229852,0.000339708415581908,6.97861454775367e-05,0.00101386330060627,2.68627924507885e-05,0.000194671567700432,0.00103116516250022,0.000373893941193558
"CHODL_140578",0.000951668860684759,0.00105196503198811,0.000367368330978,0.000206148652424287,0.000426478936579819,0.00102275403873614,0.000857779897175446,0,0.000578073926187887,0.00139734182220028,3.7215392041106e-05,0.00133267867155866,0.000439789422047342,0.000391864903604459,0.00034518562851003,4.89804559584042e-05,0.00104547220783928,2.0263778094227e-05,0.000150921428061001,0.00109080601267462,0.000346474317142523
"FABP7_2173",0.000569755591841994,0.000619321855468315,0.000258485237714189,0.0001595504590203,0.00029200963982752,0.000613817672768769,0.000555866507807973,0.000578073926187887,0,0.000792475883661429,3.02085243447926e-05,0.000823120971018223,0.000281173436941853,0.000272562888213504,0.000254132858016066,5.58926705137873e-05,0.000593747436135813,2.173906822556e-05,0.000130222195502347,0.000649789926491773,0.000268752310171038
"SCUBE2_57758",0.00134044909325905,0.00156791058654455,0.000568852714071008,0.000278010830835267,0.000600302518912629,0.00156475606360164,0.00137758282203856,0.00139734182220028,0.000792475883661429,0,2.55670519405654e-05,0.00202917900015032,0.000714258143286572,0.000599017975763842,0.000466600814210368,6.75458246062677e-05,0.00166323833402335,2.36505190904917e-05,0.000213079163309438,0.00164982952987845,0.000506598222949876
