"","hsa_mir_135b","hsa_mir_190b","hsa_mir_224","hsa_mir_452","hsa_mir_577","hsa_mir_934","MIR128_1","MIR563","TAS2R13","FCGR2B","ARHGAP28","MEP1A","C14orf72","LOC100130331","LOC727677","SPP2","ZP4","LOC145837","IAPP","SCARNA6","STH_246744","C9orf11_54586","CSF2_1437","NPFFR1_64106","OR2H2_7932","C9orf53_51198","FRMPD2L1_728798","C14orf166B_145497","MTNR1A_4543","PRLH_51052","GPR139_124274","PSKH2_85481","FETUB_26998","C16orf90_646174","CAPZA3_93661","PF4V1_5197","AOX2P_344454","TPPP2_122664","GH1_2688","C4orf45_152940","HOXB1_3211","LOC285768_285768","UROC1_131669","KRT74_121391","AHSG_197","RAX_30062","GSTA5_221357","SLC9A11_284525","GPR25_2848","CPA2_1358","OR4K15_81127","POM121L2_94026","ATOH7_220202","SNORD93_692210","PRTN3_5657","HIST1H1A_3024","ZNF280A_129025","OR2S2_56656","CLDN25_644672","KRT84_3890","NCRNA00113_54088","NLRP10_338322","ACCSL_390110","OR10A3_26496","KRT76_51350","LIPK_643414","TRIM15_89870","C16orf92_146378","OR7C1_26664","OR52N2_390077","CCDC60_160777","LOC400940_400940","DAZL_1618","C14orf53_440184","C2orf71_388939","PLSCR5_389158","TRIML2_205860","CCK_885","NKX2_5_1482","HTR6_3362","NKX1_2_390010","LOC100128977_100128977","C15orf50_414926","POTED_317754","GABRG3_2567","TMPRSS15_5651","OR7A5_26659","PSORS1C3_100130889","SPACA5_389852","PROK2_60675","IL1F5_26525","KLHL34_257240","C2orf51_200523","CLEC3A_10143","AVPR1B_553","CLLU1OS_574016","SLC30A10_55532","RIPPLY2_134701","TEPP_374739","KCNV1_27012"
"hsa_mir_135b",0,0.356175243264182,0.134650330553961,0.216031747766609,0.101555348858631,0.343853840953076,0.078026820048404,0.26430273203116,0.317518835554861,0.199958988773741,0.0862581072099559,0.0866184817699555,0.130761667901964,0.104596032269386,0.0827126259745591,0.0721990298072001,0.102091790714421,0.33445605418619,0.056931662183414,0.179430340713368,0.0767820528884039,0.0823157751113629,0.0519774776923775,0.0823241958030852,0.0429375133290633,0.0456698071528198,0.0418164312879132,0.0642430398126168,0.0721654518516066,0.0938837942707414,0.093353627134566,0.0393822706672314,0.106659033086418,0.0522939245056788,0.053421044215864,0.0885509093221789,0.120226170235728,0.0748552461353269,0.0480860241198942,0.0466620222636209,0.0460202636254655,0.0409217509800118,0.0398933083811817,0.0484704111688946,0.0453060827668138,0.0477183805106077,0.077136855588607,0.0402218660259715,0.0506462173303528,0.0624419736434825,0.0754066430123801,0.0626229502319579,0.0500831164996705,0.0487934201470362,0.0707070902808816,0.0787659067412572,0.0502084565838769,0.0798774435165645,0.0629770626309367,0.0734902377451274,0.059323258608262,0.0491957592168485,0.0585666514374575,0.0614243147299546,0.0641480528447708,0.0703663467990062,0.0395634959904678,0.0843919671373334,0.0650149203998374,0.0557924485868834,0.0465558754925197,0.0395473758584405,0.0546740166587423,0.095161330527116,0.0910413075985784,0.0715580948835958,0.0681589322654991,0.0615092890827105,0.0620188095200109,0.0429841443966418,0.134381627103824,0.113912156639677,0.050977821441677,0.151001888575155,0.0992030690908377,0.050717609058426,0.0801728989173769,0.0746964648624437,0.0479824490545478,0.0533622890173355,0.0411065935194265,0.0889696977794945,0.074467947501027,0.0406730128218655,0.047572884916054,0.076909843784774,0.0785942407050825,0.0559307299652442,0.0432837932158556,0.0443642304407984
"hsa_mir_190b",0.356175243264182,0,0.289274556333428,0.504660106728949,0.217056276548641,1,0.215490344479775,0.736058159286804,0.907112118668839,0.570465826735326,0.226247248251909,0.249415138057648,0.400361226333517,0.279778309774156,0.243579902137281,0.184771411820642,0.285755937419461,0.934268548457166,0.146528474551572,0.524604031026781,0.217450477695221,0.236476668423602,0.147901219811568,0.238613106437313,0.11920672998448,0.137719644014589,0.129014247104347,0.171048049364359,0.19692815457863,0.270756794236034,0.268563088191062,0.116171453976808,0.300370063940284,0.141196833509081,0.150070457754206,0.258005536910448,0.335917814356363,0.196547644486001,0.134269857160291,0.126282584634256,0.138665874458294,0.110287862236193,0.111074801768033,0.132817459515518,0.125219790967772,0.136518141152692,0.213650361262271,0.112982199585562,0.142357537768313,0.171755868853205,0.210607627665599,0.174625639936148,0.142073096638964,0.132595994295294,0.189945705737739,0.214305589545259,0.145336865348505,0.228442913245185,0.173706121198279,0.211759387628871,0.160359996299124,0.142275077199439,0.164061249134322,0.174213568034693,0.180831107074012,0.183185885954621,0.111426217613851,0.216537009719032,0.178785490536476,0.159526465708999,0.121532621222185,0.116267343412093,0.149836991954852,0.268808525595479,0.257016018634915,0.210250003378655,0.185870858371246,0.172714229591569,0.166056705432172,0.115777293524924,0.387204593614538,0.325679724176109,0.141519712809538,0.431180009827409,0.251285626841273,0.151148112142945,0.230094002931603,0.215263702115258,0.136880877686724,0.149669097464655,0.115003570028987,0.253841093376897,0.205489795645533,0.108088362732071,0.127135552595963,0.213148297140094,0.237695717354254,0.155997778776579,0.122848847772957,0.128372454496133
"hsa_mir_224",0.134650330553961,0.289274556333428,0,0.192757325452774,0.0882910403636805,0.296449098198765,0.0643723200610445,0.203625199894795,0.256608293887415,0.170424320562134,0.0739523313590547,0.0748195728518806,0.114416620146086,0.0841180586457257,0.0769734310168875,0.0622579113577933,0.0842244295946526,0.274507155069286,0.0438263314006252,0.15759462563881,0.0647546293036764,0.0650431709729389,0.0448094482469855,0.0702475543990378,0.0353188268884353,0.0382392792467317,0.0344645280154303,0.0525042483331007,0.0597350219979498,0.0827973994824249,0.0743488328561466,0.0345624616175518,0.0909385601699956,0.041381944419154,0.0449969278316873,0.0782504050086248,0.0986694764603523,0.061104466370681,0.0374564760261307,0.0392002188156818,0.0377747345998603,0.0339976885879664,0.0332950930430052,0.0410195037216082,0.0362164872897667,0.0382099543886743,0.0652062085693818,0.0354679736405986,0.0431109798572208,0.0507996738286783,0.0614437725695789,0.0529119037758663,0.0405720438602731,0.0393225856489665,0.0593136658972711,0.0653774472203872,0.0434886761435864,0.0659636553981604,0.0510711527486857,0.0594660973757684,0.049605354474122,0.0390994136515667,0.048439077291717,0.0496187522279424,0.0535902066885124,0.0570129935940864,0.0358344192229911,0.0663313418240692,0.0517603902095713,0.045447988584592,0.037676696059206,0.0325847248755037,0.0469393362058218,0.0786426796618402,0.0761753492145358,0.0631208852172111,0.0551146087075212,0.0511031454997805,0.0492795758656245,0.0361545245688945,0.114656211862697,0.0941347370468014,0.0429844257904964,0.125146881610847,0.0813674710564251,0.0433814726719802,0.0682647035743773,0.0635851522485759,0.040545842953782,0.0441212735042445,0.0362030345934646,0.0748963512664684,0.0622806597915584,0.0344044206973979,0.0361261680431891,0.0652544244537961,0.0656585184971129,0.0473092612955573,0.0348254071278929,0.0374403460109974
"hsa_mir_452",0.216031747766609,0.504660106728949,0.192757325452774,0,0.136846543638461,0.482957755078048,0.104053695643849,0.35445966063136,0.444978104950278,0.279334379885891,0.11785631273973,0.11624397564375,0.186361382299191,0.135543611033663,0.114896267354936,0.100390162980007,0.146292850739115,0.486696095859205,0.0751660843605507,0.255923364803355,0.104610515282509,0.111873020343808,0.0725584615387977,0.114485075887478,0.0599548495315573,0.0631485673658194,0.0603657980966207,0.0886150757307977,0.103489598827193,0.135077321196059,0.13156811308553,0.0592631343885493,0.148673224851166,0.0690124190853232,0.0743959621898719,0.133370173320438,0.169159222676569,0.101720371586154,0.0653317199668425,0.0645959973018212,0.0667304945054972,0.0560636549961402,0.0558326110313823,0.0681321022355172,0.0592442435974766,0.0676254319049927,0.108186497086633,0.0591276693987114,0.0687196295130154,0.0873667470348314,0.104593119976172,0.0879644276366272,0.0682120334599911,0.0655448253596334,0.0959193461905539,0.108939629383577,0.0747404163440809,0.107142696836006,0.0863404768413076,0.103202683473845,0.0833633174830552,0.0694179112770733,0.0832653798612661,0.0836885034069869,0.0852527079823018,0.0934903812933599,0.0563786349274198,0.113012015752079,0.0933639732388025,0.0778473672023031,0.0613541926939603,0.0598150598919582,0.0759645848072691,0.137387520631225,0.129698729228343,0.10282874931673,0.0939446857561019,0.0850710833793715,0.0848324508584593,0.0612470345283118,0.189074845017114,0.16042720902543,0.0685484408332637,0.203890441577761,0.13502890977976,0.0729805029956735,0.111984047691685,0.109413416099319,0.0658928013739726,0.0717639377813209,0.0560999784713561,0.132496916752712,0.101807462028371,0.0567291893082584,0.0634974735699863,0.109133003610794,0.105671867665761,0.0818303942786743,0.0620110394260753,0.0653947500284243
"hsa_mir_577",0.101555348858631,0.217056276548641,0.0882910403636805,0.136846543638461,0,0.2170588138754,0.0500073150931119,0.163471559484255,0.213215966952011,0.127286357385796,0.0533235503841782,0.0548170592730642,0.0873871865466486,0.0686723918428177,0.0543734880983916,0.0461667964856096,0.071238835039212,0.214867523567317,0.032906302217413,0.114060291297638,0.0520811350629228,0.0531045308804657,0.034119868989391,0.0544781282515673,0.0271200687671094,0.0294028358686343,0.0273704362212257,0.044165166278113,0.0456786496448169,0.0619286775651428,0.0622301240824309,0.0260297353630061,0.069770760217379,0.0354546146785125,0.034571834778577,0.0564266101415679,0.0779648376335334,0.046278725583676,0.0298723741478744,0.0302584192734634,0.0288758729272094,0.0267366553380353,0.0274544310780782,0.0322711290980703,0.0281070221577457,0.0316128637722711,0.0496476384471739,0.0272366424435596,0.0330957598326998,0.042947177511759,0.0487549471302364,0.0404572970218532,0.0320721212124413,0.0298277924142318,0.0445927263130548,0.0514373360728806,0.0322225672929748,0.0535083502326732,0.0393474472380675,0.0448685651493421,0.0385647282697715,0.0327377125355826,0.0379772151320422,0.0416070104190775,0.0387348102258692,0.0438371096253167,0.0270365822492994,0.0518275536946695,0.043274117868463,0.0369894359824904,0.0296751179544285,0.025673458711415,0.0351760925433308,0.0596006623303038,0.0579379226589126,0.046123519215377,0.0423198917927326,0.0406461962476262,0.039191651652889,0.0269521220176411,0.0863643741141169,0.0719059793765954,0.0318417557330558,0.0908123613555547,0.0604412493338669,0.0331299266145541,0.0544234097171417,0.0508349108448071,0.0311824681061389,0.0333385795497191,0.0271995188251084,0.0598147440427631,0.0479201143061736,0.0270108307185725,0.0310562530245015,0.0480114158903963,0.0528765619861413,0.0374929706516024,0.0287197395672263,0.0288804705703624
"hsa_mir_934",0.343853840953076,1,0.296449098198765,0.482957755078048,0.2170588138754,0,0.224255047140298,0.748736285308169,0.910332385705006,0.550051308308683,0.233804092932564,0.240237234956493,0.395045977644404,0.272220295060944,0.235098816096021,0.1942862068702,0.288302440158457,0.888459724193899,0.134210451409657,0.507691730533774,0.20702032107127,0.226262010888581,0.143229746127126,0.23172394379227,0.115734057706936,0.127196110938965,0.122832971989493,0.180746251416228,0.195201019945586,0.261764869636741,0.261827087917978,0.110791843531837,0.294681526678748,0.142516152614963,0.151088933102824,0.263990175575605,0.330948213970699,0.199351546741025,0.135470257201851,0.133626334216235,0.126380664439474,0.117095395128835,0.110447272959998,0.127359478001783,0.120502568710583,0.131786049606199,0.221183751381572,0.112741127553596,0.144451043381242,0.171703075958471,0.200146168937958,0.173019446490495,0.130604228068607,0.126254407384681,0.194056669334216,0.220333957914555,0.139013762314617,0.23392279606973,0.171580955716466,0.197321151930222,0.171928633501695,0.137737887992592,0.160478399961185,0.17373141175786,0.187181788744606,0.189319308099075,0.110053390096303,0.222385561532441,0.185979309729238,0.157236270004745,0.118054167598209,0.11033190714225,0.15784079328541,0.249151285537454,0.263508289334657,0.20251447461495,0.183797282766754,0.169594205656823,0.163906777072944,0.111317673883922,0.373204669606823,0.317643918912241,0.133568764706505,0.415005581802103,0.253395635117148,0.138689504072505,0.217672705551362,0.208849322974093,0.138825312201676,0.142268476136084,0.116861602533188,0.260580836392129,0.204073004334414,0.110792236107174,0.121297824301897,0.221567280941123,0.231836485988932,0.160409135214915,0.125672676313602,0.127454552888582
"MIR128_1",0.078026820048404,0.215490344479775,0.0643723200610445,0.104053695643849,0.0500073150931119,0.224255047140298,0,0.128178093286424,0.169095823774852,0.101212929838737,0.0431393985482478,0.0517623380818782,0.0737490829355181,0.0501630865279795,0.0468893559585371,0.0362298661060384,0.0587910978597105,0.156090841113855,0.0284185304854071,0.0871618982079748,0.0404909953815948,0.0427637344599353,0.0280223759802887,0.0430738109543654,0.0218659299482409,0.0245522535369918,0.0224121580822388,0.031193173385057,0.0368768371594675,0.0497899179690724,0.0502138463380632,0.0219294600215727,0.0552933992183918,0.0266317766148204,0.0274594459838113,0.0497180733325071,0.0608631335956186,0.0373894380396461,0.0245703969097724,0.0251825374061335,0.0232534969313707,0.0216309906885348,0.0210660543997958,0.0249574616317379,0.0238273960789547,0.0244595593089907,0.0418530783910922,0.0211575171348003,0.0257572199889308,0.0326673921341217,0.0387422162344041,0.0320621721408583,0.026231259010111,0.0246412141219337,0.0363551431790801,0.0428444134289907,0.0273271355281029,0.0436165011906628,0.031924968903664,0.0371045649110851,0.0301479580848413,0.0253066071194341,0.0306066688100086,0.0337284734967036,0.0349729119485858,0.0353008546387383,0.0219570110083716,0.0402271162559828,0.0339264159047918,0.0293655136179625,0.0228345029703381,0.0195424099546804,0.0276180554472482,0.0467309815635783,0.0467816910846473,0.036753493564199,0.0331976739823815,0.0314414586782423,0.0318125150747701,0.0219167524884663,0.0727906996330203,0.0593459612660096,0.0262735403848921,0.0798516480012593,0.0512018574328053,0.0271850267296499,0.0440037297872444,0.0406722613359294,0.0258263541704949,0.0280010728317813,0.0219860356923813,0.0480673857519626,0.0390556739472359,0.0201447933909294,0.0242775362541947,0.0396368620081592,0.0444093674218363,0.0311510050542473,0.0231659494947751,0.0241985695034113
"MIR563",0.26430273203116,0.736058159286804,0.203625199894795,0.35445966063136,0.163471559484255,0.748736285308169,0.128178093286424,0,0.528489915768036,0.350255185772582,0.142598332774075,0.132926317282715,0.230494426078046,0.167352558980562,0.137244160332631,0.112972605877896,0.172133442399417,0.51630511729336,0.0821996938445879,0.301191057019975,0.135374277140954,0.140304329394757,0.0889355686720008,0.147648545937416,0.0751605155890708,0.0790893534865842,0.0795379884149034,0.110918613093689,0.123705814710587,0.164939989601821,0.164924789326505,0.072834024592133,0.196940371234308,0.0926433409582402,0.0940561832445694,0.159655705520906,0.205663321066881,0.129784162669032,0.0817248076111905,0.0808024181435208,0.082735956307996,0.0708051074311101,0.0682137761053538,0.0866106840990178,0.0771747932274264,0.0813936505331529,0.129246380323887,0.0745010449597885,0.0874971660362373,0.108334366156262,0.131877356251451,0.111404439190359,0.0886106236581828,0.0836493039712999,0.123411293145218,0.14055294702054,0.0917849278376985,0.14316822885092,0.105543471930776,0.131981427546287,0.105864814808827,0.0881859388711252,0.105850074192907,0.107755980012721,0.108513011928304,0.120225625091141,0.0690474650651896,0.142063674624947,0.113641988955819,0.103701908440803,0.0794710298899332,0.0704899781409877,0.0973386271102546,0.16515543068743,0.161707484225138,0.126909468076088,0.114716624337007,0.111222910795874,0.109786462365282,0.07180006309569,0.232971879676343,0.199109335973578,0.0899309567588994,0.261389376164674,0.165400500571063,0.0897987734802711,0.143310143660535,0.134930793956331,0.0856572322639352,0.0913971135325096,0.0745812914631644,0.162953666776535,0.127094001867957,0.069987896600482,0.0775505181518922,0.141288174715225,0.141626144900405,0.0991154050362415,0.0762418094418725,0.0782621045818027
"TAS2R13",0.317518835554861,0.907112118668839,0.256608293887415,0.444978104950278,0.213215966952011,0.910332385705006,0.169095823774852,0.528489915768036,0,0.401580682941593,0.168526021532363,0.177389127281808,0.27629373266748,0.206280379324127,0.178633958390388,0.125651431404152,0.204881698521215,0.659260882563166,0.100156545095801,0.359328308394011,0.1670362175468,0.179767327406398,0.110672966697864,0.184441790024788,0.0912632626740904,0.102269098482494,0.0962054214649122,0.134219430862354,0.150484667265192,0.202796851339732,0.201161028054907,0.0909600043246403,0.222440670695572,0.106962805284276,0.11662054846741,0.207089606519253,0.275158585617556,0.158961874319703,0.103806188851025,0.102424413549574,0.104450624350664,0.0883794306411853,0.0871798012044077,0.101990105995252,0.0939968137769715,0.104622074715767,0.17193754426826,0.0889445094266102,0.10887051134596,0.138844288201573,0.159182006034281,0.137254008806807,0.105376510906295,0.102209700475837,0.148650036958667,0.17793383561448,0.112444845589128,0.18132035658498,0.132129982685157,0.162111703217015,0.128359613548893,0.10753277776597,0.128668037499712,0.133960175145616,0.139485366928337,0.146902826584583,0.0870596321346913,0.178815280214685,0.142672572645393,0.117816027976342,0.0940753060653137,0.0929760607001818,0.122908591065299,0.194902916430278,0.206010006027417,0.153822583783203,0.146629829456507,0.133230736062912,0.12806275717073,0.0931285558653563,0.306836642969277,0.254798805029571,0.106988897410762,0.325468158733053,0.196324870677051,0.111731352597971,0.173265865957727,0.164414755857481,0.105668948873529,0.113724951643223,0.0894784311698103,0.194965166373917,0.165761668783756,0.0848659289171767,0.09752432040647,0.173175174236175,0.17731401514794,0.128850090107492,0.0944849471541598,0.0980608228453911
"FCGR2B",0.199958988773741,0.570465826735326,0.170424320562134,0.279334379885891,0.127286357385796,0.550051308308683,0.101212929838737,0.350255185772582,0.401580682941593,0,0.101458845001679,0.10864641364299,0.188135907606468,0.137677253055423,0.11091091454592,0.0922116284592579,0.136165347537056,0.396453253219195,0.0637482042817586,0.244745556305622,0.102132067371098,0.109022462030038,0.0691650430831302,0.112678993720062,0.0576325602104663,0.0616660645400195,0.0567582746137265,0.0862350423130283,0.0947883870534223,0.127551217281886,0.125284893248666,0.0556096990599671,0.142515070161463,0.0703095263992695,0.0714885109351203,0.124213827766164,0.162267338295765,0.095155893098317,0.0632541173425187,0.0606433247896725,0.0613030289990474,0.0528690545014327,0.0538062947032014,0.0642452100081345,0.0587033775693755,0.0633637750898993,0.103720729714217,0.0541483807293088,0.0666411254324243,0.0832247592348719,0.0967759069244049,0.0834712744112454,0.0645431349598844,0.0628818795725204,0.0927980984877388,0.105806582426368,0.0716643338690632,0.111050192530255,0.0843064038846824,0.0980339493426824,0.0804039808040738,0.0677079680856726,0.0786801408959842,0.0820728519480141,0.0851560601597278,0.0901271218458461,0.0539691854826045,0.104611630221301,0.087069077843055,0.0772632990594129,0.0615201763022313,0.0547445768394093,0.0748175015706428,0.127788727713875,0.121546107382331,0.0972534580653235,0.0889824146318017,0.0823113777291824,0.0791262847469173,0.0550192500031312,0.187639949166112,0.154004499035601,0.0655221595986494,0.197734333960209,0.123457073196668,0.0695321789181634,0.111484942888669,0.0980688399992897,0.0620237539627381,0.0714167262348645,0.0567445593872771,0.126897732894549,0.0974220664273364,0.0532346110486556,0.0616060148925634,0.100348300716405,0.107723288253154,0.0735905957387105,0.0590736662934912,0.0609722610484854
