"","OR1J4","SLC5A12","SERPINB12","MIR645","KCNJ16","BLID","TNFSF13B","MIR100","OR2S2","TMEM207","POU3F3","UGT2B17","LOC728640","OR11H12"
"OR1J4",0,2.9130305045891e-05,0.000160554046062169,0.000203410910747501,7.94952235549795e-05,0.000179579863201115,2.25808185994937e-05,2.40886849432449e-05,9.47919314367929e-05,9.79515332747446e-05,0.000116346505021425,4.32581726186805e-06,1.60615193310107e-05,5.31224961167948e-05
"SLC5A12",2.9130305045891e-05,0,1.71879153328966e-05,9.86767519393378e-05,5.89886375257172e-05,5.51107875186534e-05,1.09356720707942e-05,1.35869781218338e-05,4.59408316159864e-05,2.96820596767341e-05,6.49764616776708e-05,2.26347210602506e-06,1.17524842133334e-05,1.83117437149793e-05
"SERPINB12",0.000160554046062169,1.71879153328966e-05,0,0.0012423660679046,0.000173014953994827,0.00188077490572802,3.39515348566634e-05,3.26110324131164e-05,0.000235422739273136,0.00059674348274659,0.000430956103959636,2.94150828070519e-06,1.65105483993058e-05,0.000524984059522173
"MIR645",0.000203410910747501,9.86767519393378e-05,0.0012423660679046,0,0.000321709047337325,0.00410746942395049,6.25996937571782e-05,8.58012680510412e-05,0.000473681375042982,0.000638071188982412,0.000538486802149374,1.01898472137923e-05,4.1823358829024e-05,0.000383337656377619
"KCNJ16",7.94952235549795e-05,5.89886375257172e-05,0.000173014953994827,0.000321709047337325,0,0.000407840145476842,3.75775177809473e-05,4.74637735838568e-05,0.000145722305704498,0.000207081454963895,0.000261026368920695,4.45608259426668e-06,2.51785025220922e-05,0.000144981627175529
"BLID",0.000179579863201115,5.51107875186534e-05,0.00188077490572802,0.00410746942395049,0.000407840145476842,0,6.60489685686324e-05,7.91419109255497e-05,0.00027465464637431,0.00106713001964376,0.000800010427026951,4.61730747017845e-06,2.84325766541975e-05,0.000751485032822359
"TNFSF13B",2.25808185994937e-05,1.09356720707942e-05,3.39515348566634e-05,6.25996937571782e-05,3.75775177809473e-05,6.60489685686324e-05,0,1.10004102420561e-05,2.60945601573122e-05,4.27846824487723e-05,4.67471221503729e-05,1.3445382015895e-06,6.40481511622439e-06,1.83996409537585e-05
"MIR100",2.40886849432449e-05,1.35869781218338e-05,3.26110324131164e-05,8.58012680510412e-05,4.74637735838568e-05,7.91419109255497e-05,1.10004102420561e-05,0,3.55394207725559e-05,3.67264194155009e-05,5.84962507121881e-05,1.57638130700317e-06,6.06313004742045e-06,3.27620862797852e-05
"OR2S2",9.47919314367929e-05,4.59408316159864e-05,0.000235422739273136,0.000473681375042982,0.000145722305704498,0.00027465464637431,2.60945601573122e-05,3.55394207725559e-05,0,0.000167177347694348,0.000212599915358759,4.73294495633286e-06,1.92764437100304e-05,0.00010218828436019
"TMEM207",9.79515332747446e-05,2.96820596767341e-05,0.00059674348274659,0.000638071188982412,0.000207081454963895,0.00106713001964376,4.27846824487723e-05,3.67264194155009e-05,0.000167177347694348,0,0.000372598410072204,1.51582929656754e-06,1.28122376678232e-05,0.00031402025852669
"POU3F3",0.000116346505021425,6.49764616776708e-05,0.000430956103959636,0.000538486802149374,0.000261026368920695,0.000800010427026951,4.67471221503729e-05,5.84962507121881e-05,0.000212599915358759,0.000372598410072204,0,5.00944428149502e-06,2.94495921232106e-05,0.000278081134562932
"UGT2B17",4.32581726186805e-06,2.26347210602506e-06,2.94150828070519e-06,1.01898472137923e-05,4.45608259426668e-06,4.61730747017845e-06,1.3445382015895e-06,1.57638130700317e-06,4.73294495633286e-06,1.51582929656754e-06,5.00944428149502e-06,0,1.10014407060641e-06,6.49938768418338e-07
"LOC728640",1.60615193310107e-05,1.17524842133334e-05,1.65105483993058e-05,4.1823358829024e-05,2.51785025220922e-05,2.84325766541975e-05,6.40481511622439e-06,6.06313004742045e-06,1.92764437100304e-05,1.28122376678232e-05,2.94495921232106e-05,1.10014407060641e-06,0,1.05272532582659e-05
"OR11H12",5.31224961167948e-05,1.83117437149793e-05,0.000524984059522173,0.000383337656377619,0.000144981627175529,0.000751485032822359,1.83996409537585e-05,3.27620862797852e-05,0.00010218828436019,0.00031402025852669,0.000278081134562932,6.49938768418338e-07,1.05272532582659e-05,0
