"","ENSG00000230796.1","ENSG00000233962.1","ENSG00000234085.1","ENSG00000236261.1","ENSG00000237639.2","ENSG00000270749.1","ENSG00000229627.2","ENSG00000146731.11","ENSG00000106153.13","ENSG00000146729.10","ENSG00000164776.9","ENSG00000146733.14","ENSG00000207168.1","ENSG00000129103.18"
"ENSG00000230796.1",0,2.09506050379929e-07,1.98442287362724e-07,1.03943527229721e-07,2.09506050379929e-07,1.1905637701805e-07,1.96211895880926e-07,1.08262081835009e-07,6.6608779217611e-08,1.08262081835009e-07,9.87782232607862e-08,1.08262081835009e-07,5.11371611916206e-08,4.16533026173979e-08
"ENSG00000233962.1",2.09506050379929e-07,0,3.16724149360806e-07,2.22225389227804e-07,2.72809859642729e-07,2.37338239016132e-07,3.1407248374901e-07,1.8337226159206e-07,1.41718958974662e-07,1.08262081835009e-07,1.73888403017837e-07,1.08262081835009e-07,1.26247340948672e-07,1.16763482374449e-07
"ENSG00000234085.1",1.98442287362724e-07,3.16724149360806e-07,0,2.11161626210599e-07,2.61746096625525e-07,2.37338239016132e-07,3.03008720731805e-07,1.8337226159206e-07,1.41718958974662e-07,1.08262081835009e-07,1.73888403017837e-07,1.08262081835009e-07,1.26247340948672e-07,1.16763482374449e-07
"ENSG00000236261.1",1.03943527229721e-07,2.22225389227804e-07,2.11161626210599e-07,0,1.67247336492522e-07,1.31775715865924e-07,2.08509960598802e-07,1.26247340948672e-07,8.45940383312739e-08,5.11371611916206e-08,1.16763482374449e-07,5.11371611916206e-08,1.26247340948672e-07,1.16763482374449e-07
"ENSG00000237639.2",2.09506050379929e-07,2.72809859642729e-07,2.61746096625525e-07,1.67247336492522e-07,0,1.8236018628085e-07,2.59515705143726e-07,1.8337226159206e-07,1.41718958974662e-07,1.08262081835009e-07,1.73888403017837e-07,1.08262081835009e-07,1.26247340948672e-07,1.16763482374449e-07
"ENSG00000270749.1",1.1905637701805e-07,2.37338239016132e-07,2.37338239016132e-07,1.31775715865924e-07,1.8236018628085e-07,0,2.23622810387131e-07,1.3223510040044e-07,1.3223510040044e-07,5.71249206433883e-08,1.3223510040044e-07,5.71249206433883e-08,7.51101797570513e-08,7.51101797570513e-08
"ENSG00000229627.2",1.96211895880926e-07,3.1407248374901e-07,3.03008720731805e-07,2.08509960598802e-07,2.59515705143726e-07,2.23622810387131e-07,0,1.8337226159206e-07,1.41718958974662e-07,1.08262081835009e-07,1.73888403017837e-07,1.08262081835009e-07,1.26247340948672e-07,1.16763482374449e-07
"ENSG00000146731.11",1.08262081835009e-07,1.8337226159206e-07,1.8337226159206e-07,1.26247340948672e-07,1.8337226159206e-07,1.3223510040044e-07,1.8337226159206e-07,0,2.80760805064694e-07,2.35125917640838e-07,3.10641375974898e-07,2.33147711495959e-07,2.60363730988941e-07,2.8184863024659e-07
"ENSG00000106153.13",6.6608779217611e-08,1.41718958974662e-07,1.41718958974662e-07,8.45940383312739e-08,1.41718958974662e-07,1.3223510040044e-07,1.41718958974662e-07,2.80760805064694e-07,0,2.36495281763497e-07,2.80009169506148e-07,2.33801637170554e-07,2.96505071939936e-07,3.16011765052706e-07
"ENSG00000146729.10",1.08262081835009e-07,1.08262081835009e-07,1.08262081835009e-07,5.11371611916206e-08,1.08262081835009e-07,5.71249206433883e-08,1.08262081835009e-07,2.35125917640838e-07,2.36495281763497e-07,0,1.99602305253956e-07,2.99921258915704e-07,2.16098207687744e-07,2.37583106945393e-07
"ENSG00000164776.9",9.87782232607862e-08,1.73888403017837e-07,1.73888403017837e-07,1.16763482374449e-07,1.73888403017837e-07,1.3223510040044e-07,1.73888403017837e-07,3.10641375974898e-07,2.80009169506148e-07,1.99602305253956e-07,0,1.96908660661013e-07,2.59754165159297e-07,2.82421998965751e-07
"ENSG00000146733.14",1.08262081835009e-07,1.08262081835009e-07,1.08262081835009e-07,5.11371611916206e-08,1.08262081835009e-07,5.71249206433883e-08,1.08262081835009e-07,2.33147711495959e-07,2.33801637170554e-07,2.99921258915704e-07,1.96908660661013e-07,0,2.13404563094801e-07,2.32911256207571e-07
"ENSG00000207168.1",5.11371611916206e-08,1.26247340948672e-07,1.26247340948672e-07,1.26247340948672e-07,1.26247340948672e-07,7.51101797570513e-08,1.26247340948672e-07,2.60363730988941e-07,2.96505071939936e-07,2.16098207687744e-07,2.59754165159297e-07,2.13404563094801e-07,0,3.26527712579042e-07
"ENSG00000129103.18",4.16533026173979e-08,1.16763482374449e-07,1.16763482374449e-07,1.16763482374449e-07,1.16763482374449e-07,7.51101797570513e-08,1.16763482374449e-07,2.8184863024659e-07,3.16011765052706e-07,2.37583106945393e-07,2.82421998965751e-07,2.32911256207571e-07,3.26527712579042e-07,0
