"","ENSP00000228872.4","ENSP00000236850.3","ENSP00000265734.4","ENSP00000285381.2","ENSP00000289473.4","ENSP00000295055.8","ENSP00000298223.6","ENSP00000310978.5","ENSP00000328671.2","ENSP00000332511.3","ENSP00000333657.3","ENSP00000342991.4","ENSP00000345739.3","ENSP00000354923.3","ENSP00000356399.4","ENSP00000356455.4","ENSP00000359717.1","ENSP00000361005.5","ENSP00000364782.4","ENSP00000370889.1","ENSP00000376652.3","ENSP00000380066.1","ENSP00000451803.1"
"ENSP00000228872.4",0,0.000525532923090311,0.000593793505208675,0.000816336841782115,0.000655139061484282,0.000952232535367702,0.000945369412991944,0.000753504734128606,0.000703383898878089,0.000822945389558598,0.000789745150461124,0.000684701353628824,0.000938382278334433,0.000580768929072426,0.000834163583854,0.000768283576354441,0.00079246052647496,0.000878086424554038,0.000732744952006356,0.000530750441489707,0.000726901897315986,0.000891415452838485,0.000779235646226045
"ENSP00000236850.3",0.000525532923090311,0,0.000356702942246628,0.00046582806502136,0.000389499740098087,0.000543801778330629,0.000546212980560521,0.000440405518785726,0.000416772606927117,0.000473427617375972,0.000461189132112421,0.000408214193338764,0.000529211326937343,0.000334463739640323,0.000485382118032536,0.000462626149497158,0.000442387837080611,0.000532021950323244,0.00043284610544804,0.000319753263294321,0.000429602726829051,0.00052252650045022,0.000455878947524072
"ENSP00000265734.4",0.000593793505208675,0.000356702942246628,0,0.000540496907625605,0.000449606772124384,0.000631480329283469,0.00063235556075328,0.000492956073937344,0.000468476880063558,0.000553937753362561,0.000532230664924782,0.000465671399940746,0.000630005156355179,0.000389165373973188,0.000555370853330401,0.000540065053325102,0.000507065198530865,0.0005998745742219,0.000491745401902808,0.000357344814172854,0.000491766556988637,0.000608967067146199,0.000529939146297419
"ENSP00000285381.2",0.000816336841782115,0.00046582806502136,0.000540496907625605,0,0.000596243295593272,0.000852364890469431,0.000835593827204183,0.000645834399172579,0.000620237796962108,0.000729098099916214,0.000710283212258244,0.000596325680471396,0.000823670904961063,0.00051359884271208,0.000739907190893631,0.00071161666752457,0.000680982480009627,0.000813105005502748,0.000656707763907973,0.000465999839804215,0.000633700226919736,0.00081961779059626,0.0007088045374941
"ENSP00000289473.4",0.000655139061484282,0.000389499740098087,0.000449606772124384,0.000596243295593272,0,0.000702523819354439,0.00067673236651669,0.000542667483491785,0.000519008419650383,0.000618483728020824,0.000589475571479217,0.00051032548238107,0.000675832808086969,0.000430966106197201,0.000627546890361967,0.00057720073512157,0.000566711968740478,0.00064584487918656,0.000531307713595555,0.000397865691453869,0.00055465366608832,0.000663041065048412,0.000604895884459693
"ENSP00000295055.8",0.000952232535367702,0.000543801778330629,0.000631480329283469,0.000852364890469431,0.000702523819354439,0,0.000964810750949753,0.000742639604550193,0.000733274664521087,0.000843530365714149,0.000821668583328107,0.00071972927289744,0.000973762564315347,0.000591120327037943,0.00086535920759897,0.000839852759986997,0.000830868956458585,0.000950409414948992,0.000756168419410717,0.000545810001079733,0.000738530098945526,0.000975344091584366,0.00081816326278537
"ENSP00000298223.6",0.000945369412991944,0.000546212980560521,0.00063235556075328,0.000835593827204183,0.00067673236651669,0.000964810750949753,0,0.000779350597585704,0.000742401261404355,0.000839304005216064,0.000806351853766204,0.000702039433584031,0.000967967337632473,0.00059980681649487,0.00090524420311491,0.00082011908498641,0.000798968086157557,0.000947065446322264,0.00074957708789039,0.00054029085544601,0.000769446833973511,0.000923309999139917,0.00079172304121414
"ENSP00000310978.5",0.000753504734128606,0.000440405518785726,0.000492956073937344,0.000645834399172579,0.000542667483491785,0.000742639604550193,0.000779350597585704,0,0.000575074040716039,0.000679914695312067,0.000643523834458846,0.000561028287004769,0.000775691712886011,0.000488627983200247,0.000698085505976373,0.000632833125391523,0.000631327011417203,0.000751347791144792,0.000606246876103032,0.000428635851969848,0.000599291864012412,0.000727097771702199,0.000631665325362872
"ENSP00000328671.2",0.000703383898878089,0.000416772606927117,0.000468476880063558,0.000620237796962108,0.000519008419650383,0.000733274664521087,0.000742401261404355,0.000575074040716039,0,0.000636806926054314,0.000615688299044973,0.000520664429535814,0.000701401196710084,0.000467099004053171,0.000659554097450796,0.000629383753701278,0.00059413934996213,0.000714053645959944,0.000564705791787535,0.000417216014290543,0.000575241513041549,0.000723217289474018,0.000594690714466596
"ENSP00000332511.3",0.000822945389558598,0.000473427617375972,0.000553937753362561,0.000729098099916214,0.000618483728020824,0.000843530365714149,0.000839304005216064,0.000679914695312067,0.000636806926054314,0,0.000700715789268476,0.000623429577053066,0.000838120657963739,0.00051169323629871,0.000762296757565172,0.000722215047334316,0.000691688154786644,0.000798963205262858,0.000651621603107885,0.000476944016689822,0.000657741955304748,0.00083569026588553,0.000692546787099443
"ENSP00000333657.3",0.000789745150461124,0.000461189132112421,0.000532230664924782,0.000710283212258244,0.000589475571479217,0.000821668583328107,0.000806351853766204,0.000643523834458846,0.000615688299044973,0.000700715789268476,0,0.000585590588355125,0.000809856070754555,0.000484171310111687,0.000737874941662383,0.000690043902568961,0.000660384401194329,0.00076379014649897,0.000636001433416914,0.000464024501681522,0.000628711017241464,0.000798211717521479,0.000687899689253938
"ENSP00000342991.4",0.000684701353628824,0.000408214193338764,0.000465671399940746,0.000596325680471396,0.00051032548238107,0.00071972927289744,0.000702039433584031,0.000561028287004769,0.000520664429535814,0.000623429577053066,0.000585590588355125,0,0.00070494137902794,0.00044000179123127,0.000636898660917527,0.000599462370753456,0.000590771590879537,0.000669247528842928,0.000547067341847864,0.000405395446169845,0.000541137814680349,0.000668981551752387,0.000600158434098309
"ENSP00000345739.3",0.000938382278334433,0.000529211326937343,0.000630005156355179,0.000823670904961063,0.000675832808086969,0.000973762564315347,0.000967967337632473,0.000775691712886011,0.000701401196710084,0.000838120657963739,0.000809856070754555,0.00070494137902794,0,0.000591215597341423,0.000877313612223374,0.000792266187696607,0.000806106482083586,0.000934343997247698,0.000768624219044299,0.000520974587468517,0.000726207254103899,0.000924881239391364,0.000817811892395191
"ENSP00000354923.3",0.000580768929072426,0.000334463739640323,0.000389165373973188,0.00051359884271208,0.000430966106197201,0.000591120327037943,0.00059980681649487,0.000488627983200247,0.000467099004053171,0.00051169323629871,0.000484171310111687,0.00044000179123127,0.000591215597341423,0,0.000526580942247317,0.000507835466892618,0.000503154282800506,0.000562876162955857,0.000470972346237426,0.000339140134295247,0.000472765207173244,0.000566576204580716,0.00051147002525305
"ENSP00000356399.4",0.000834163583854,0.000485382118032536,0.000555370853330401,0.000739907190893631,0.000627546890361967,0.00086535920759897,0.00090524420311491,0.000698085505976373,0.000659554097450796,0.000762296757565172,0.000737874941662383,0.000636898660917527,0.000877313612223374,0.000526580942247317,0,0.000746752702745236,0.000716698652413249,0.000834016928599098,0.000688638769528996,0.000480420923071282,0.000678755411382162,0.000857389250044007,0.000744362753913325
"ENSP00000356455.4",0.000768283576354441,0.000462626149497158,0.000540065053325102,0.00071161666752457,0.00057720073512157,0.000839852759986997,0.00082011908498641,0.000632833125391523,0.000629383753701278,0.000722215047334316,0.000690043902568961,0.000599462370753456,0.000792266187696607,0.000507835466892618,0.000746752702745236,0,0.000654982557446614,0.000785574448972539,0.000656851896697875,0.000460889744994412,0.00064261071215999,0.000802338673216712,0.000703882652070771
"ENSP00000359717.1",0.00079246052647496,0.000442387837080611,0.000507065198530865,0.000680982480009627,0.000566711968740478,0.000830868956458585,0.000798968086157557,0.000631327011417203,0.00059413934996213,0.000691688154786644,0.000660384401194329,0.000590771590879537,0.000806106482083586,0.000503154282800506,0.000716698652413249,0.000654982557446614,0,0.000763144596818942,0.000631867480956374,0.000437728082616004,0.000624398278092985,0.000758339601473877,0.000680050178549175
"ENSP00000361005.5",0.000878086424554038,0.000532021950323244,0.0005998745742219,0.000813105005502748,0.00064584487918656,0.000950409414948992,0.000947065446322264,0.000751347791144792,0.000714053645959944,0.000798963205262858,0.00076379014649897,0.000669247528842928,0.000934343997247698,0.000562876162955857,0.000834016928599098,0.000785574448972539,0.000763144596818942,0,0.000727992686863231,0.000510325258239512,0.000719622385423826,0.00089665723008296,0.000786799494619283
"ENSP00000364782.4",0.000732744952006356,0.00043284610544804,0.000491745401902808,0.000656707763907973,0.000531307713595555,0.000756168419410717,0.00074957708789039,0.000606246876103032,0.000564705791787535,0.000651621603107885,0.000636001433416914,0.000547067341847864,0.000768624219044299,0.000470972346237426,0.000688638769528996,0.000656851896697875,0.000631867480956374,0.000727992686863231,0,0.000421929247954128,0.000598605044180293,0.000725517336029226,0.000626601370845203
"ENSP00000370889.1",0.000530750441489707,0.000319753263294321,0.000357344814172854,0.000465999839804215,0.000397865691453869,0.000545810001079733,0.00054029085544601,0.000428635851969848,0.000417216014290543,0.000476944016689822,0.000464024501681522,0.000405395446169845,0.000520974587468517,0.000339140134295247,0.000480420923071282,0.000460889744994412,0.000437728082616004,0.000510325258239512,0.000421929247954128,0,0.000426117606095072,0.000510089670521689,0.000465371197332484
"ENSP00000376652.3",0.000726901897315986,0.000429602726829051,0.000491766556988637,0.000633700226919736,0.00055465366608832,0.000738530098945526,0.000769446833973511,0.000599291864012412,0.000575241513041549,0.000657741955304748,0.000628711017241464,0.000541137814680349,0.000726207254103899,0.000472765207173244,0.000678755411382162,0.00064261071215999,0.000624398278092985,0.000719622385423826,0.000598605044180293,0.000426117606095072,0,0.000712192675591932,0.000612479382239418
