"","ENSG00000277553.1","ENSG00000277966.1","ENSG00000278334.1","ENSG00000278708.1","ENSG00000286323.1","ENSG00000253508.1","ENSG00000257184.3","ENSG00000270182.1","ENSG00000272801.1","ENSG00000273961.1","ENSG00000276496.1","ENSG00000276609.1","ENSG00000202233.2","ENSG00000213798.3","ENSG00000234406.1","ENSG00000285716.1","ENSG00000260951.2","ENSG00000243981.4","ENSG00000153790.12","ENSG00000243766.8","ENSG00000254369.6","ENSG00000253293.5","ENSG00000005073.6","ENSG00000240990.10","ENSG00000106031.9","ENSG00000106004.5","ENSG00000106006.6","ENSG00000122592.8","ENSG00000078399.19","ENSG00000105954.2","ENSG00000234922.1"
"ENSG00000277553.1",0,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.16406451680465e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.16406451680465e-07,1.71532260229254e-07,1.16406451680465e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.16406451680465e-07,1.71532260229254e-07,1.71532260229254e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000277966.1",1.71532260229254e-07,0,1.71532260229254e-07,1.71532260229254e-07,1.90839828671092e-07,1.93038880598545e-07,1.93038880598545e-07,1.73731312156706e-07,1.88884263544584e-07,1.90839828671092e-07,1.75686877283214e-07,1.33758454995796e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.22760120661878e-07,1.90839828671092e-07,1.37913072049756e-07,1.75686877283214e-07,1.93038880598545e-07,1.93038880598545e-07,1.73731312156706e-07,1.20561068734425e-07,1.90839828671092e-07,1.93038880598545e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000278334.1",1.71532260229254e-07,1.71532260229254e-07,0,1.71536527294878e-07,1.71536527294878e-07,1.71536527294878e-07,1.71536527294878e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.71532260229254e-07,1.16410718746089e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.16410718746089e-07,1.71536527294878e-07,1.16410718746089e-07,1.71532260229254e-07,1.71536527294878e-07,1.71536527294878e-07,1.71536527294878e-07,1.16406451680465e-07,1.71536527294878e-07,1.71532260229254e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000278708.1",1.71532260229254e-07,1.71532260229254e-07,1.71536527294878e-07,0,1.72169279586717e-07,1.71536527294878e-07,1.72169279586717e-07,1.72165012521093e-07,1.72165012521093e-07,1.72165012521093e-07,1.71532260229254e-07,1.17043471037929e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.16410718746089e-07,1.72169279586717e-07,1.17043471037929e-07,1.72165012521093e-07,1.72169279586717e-07,1.72169279586717e-07,1.72169279586717e-07,1.16406451680465e-07,1.72169279586717e-07,1.71532260229254e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000286323.1",1.71532260229254e-07,1.90839828671092e-07,1.71536527294878e-07,1.72169279586717e-07,0,1.90844095736717e-07,1.91476848028556e-07,1.72165012521093e-07,1.87317963908972e-07,1.91472580962932e-07,1.75686877283214e-07,1.32196422425807e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.2056533580005e-07,1.91476848028556e-07,1.36351039479768e-07,1.76319629575053e-07,1.91476848028556e-07,1.91476848028556e-07,1.72169279586717e-07,1.20561068734425e-07,1.91476848028556e-07,1.90839828671092e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000253508.1",1.71532260229254e-07,1.93038880598545e-07,1.71536527294878e-07,1.71536527294878e-07,1.90844095736717e-07,0,1.93043147664169e-07,1.73731312156706e-07,1.88884263544584e-07,1.90839828671092e-07,1.75686877283214e-07,1.3376272206142e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.22764387727502e-07,1.90844095736717e-07,1.37917339115381e-07,1.75686877283214e-07,1.93043147664169e-07,1.93043147664169e-07,1.7373557922233e-07,1.20561068734425e-07,1.90844095736717e-07,1.93038880598545e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000257184.3",1.71532260229254e-07,1.93038880598545e-07,1.71536527294878e-07,1.72169279586717e-07,1.91476848028556e-07,1.93043147664169e-07,0,1.74364064448545e-07,1.89517015836424e-07,1.91472580962932e-07,1.75686877283214e-07,1.3439547435326e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.22764387727502e-07,1.91476848028556e-07,1.3855009140722e-07,1.76319629575053e-07,1.93675899956008e-07,1.93675899956008e-07,1.74368331514169e-07,1.20561068734425e-07,1.91476848028556e-07,1.93038880598545e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000270182.1",1.71532260229254e-07,1.73731312156706e-07,1.71532260229254e-07,1.72165012521093e-07,1.72165012521093e-07,1.73731312156706e-07,1.74364064448545e-07,0,1.74364064448545e-07,1.72165012521093e-07,1.71532260229254e-07,1.19238255899757e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.18605503607917e-07,1.72165012521093e-07,1.19238255899757e-07,1.72165012521093e-07,1.74364064448545e-07,1.74364064448545e-07,1.74364064448545e-07,1.16406451680465e-07,1.72165012521093e-07,1.73731312156706e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000272801.1",1.71532260229254e-07,1.88884263544584e-07,1.71532260229254e-07,1.72165012521093e-07,1.87317963908972e-07,1.88884263544584e-07,1.89517015836424e-07,1.74364064448545e-07,0,1.87317963908972e-07,1.71532260229254e-07,1.34391207287635e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.18605503607917e-07,1.87317963908972e-07,1.34391207287635e-07,1.72165012521093e-07,1.89517015836424e-07,1.89517015836424e-07,1.74364064448545e-07,1.16406451680465e-07,1.87317963908972e-07,1.88884263544584e-07,2.29186811874975e-08,2.29186811874975e-08
"ENSG00000273961.1",1.71532260229254e-07,1.90839828671092e-07,1.71532260229254e-07,1.72165012521093e-07,1.91472580962932e-07,1.90839828671092e-07,1.91472580962932e-07,1.72165012521093e-07,1.87317963908972e-07,0,1.75686877283214e-07,1.32192155360183e-07,2.40032014349701e-08,2.29186811874975e-08,2.29186811874975e-08,2.29186811874975e-08,2.40032014349701e-08,7.79190911390655e-08,2.40032014349701e-08,1.20561068734425e-07,1.91472580962932e-07,1.36346772414143e-07,1.76319629575053e-07,1.91472580962932e-07,1.91472580962932e-07,1.72165012521093e-07,1.20561068734425e-07,1.91472580962932e-07,1.90839828671092e-07,2.29186811874975e-08,2.29186811874975e-08
