"","ENSG00000282909.2","ENSG00000286265.1","ENSG00000274282.1","ENSG00000252689.1","ENSG00000273966.1","ENSG00000283076.1","ENSG00000251510.1","ENSG00000229465.1","ENSG00000185275.6","ENSG00000129873.7","ENSG00000229138.1","ENSG00000224033.1","ENSG00000232899.1","ENSG00000238191.3","ENSG00000228945.3","ENSG00000230377.1","ENSG00000234529.2","ENSG00000169953.12","ENSG00000217179.1","ENSG00000226011.1","ENSG00000226611.2","ENSG00000229406.1","ENSG00000224166.1","ENSG00000235479.1","ENSG00000252315.1","ENSG00000251953.1","ENSG00000252667.1","ENSG00000252513.1","ENSG00000252209.1","ENSG00000252166.1","ENSG00000252173.1","ENSG00000229302.1","ENSG00000176728.9","ENSG00000249726.1","ENSG00000228578.1","ENSG00000250951.1","ENSG00000233120.1","ENSG00000223555.1","ENSG00000237616.1","ENSG00000233378.1","ENSG00000249634.1","ENSG00000224485.1","ENSG00000244646.4","ENSG00000238067.1","ENSG00000230904.1","ENSG00000217896.2"
"ENSG00000282909.2",0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000286265.1",1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000274282.1",1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000252689.1",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000273966.1",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000283076.1",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000251510.1",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000229465.1",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000185275.6",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
"ENSG00000129873.7",1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,0,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07,1.70941674942546e-07
