"","X3.methoxytyramine.sulfate","cytidine","ectoine","gamma.glutamyl.epsilon.lysine","glycerophosphorylcholine..GPC.","homocitrulline","indolelactate","methylmalonate..MMA.","N.acetyl.isoputreanine","N.acetylproline","palmitoleate..16.1n7.","sucrose","X...12015","X...12101","X...24337","X...24473","SPARC.related.modular.calcium.binding.protein.1","Protein.Z.dependent.protease.inhibitor","Latent.transforming.growth.factor.beta.binding.protein.4","Macrophage.colony.stimulating.factor.1.receptor","Tumor.necrosis.factor.receptor.superfamily.member.1A","Creatine.kinase.M.type","Tumor.necrosis.factor.ligand.superfamily.member.18","CD209.antigen","beta.adrenergic.receptor.kinase.1","Fibronectin.Fragment.4","Xaa.Pro.aminopeptidase.1","Chitotriosidase.1","Brain.natriuretic.peptide.32","X6.phosphogluconate.dehydrogenase..decarboxylating","NudC.domain.containing.protein.3","Proprotein.convertase.subtilisin.kexin.type.7","Endoglin","Nicotinamide.phosphoribosyltransferase","Reticulon.4.receptor","ANP","bFGF.R","NG36","eIF.4H","Leptin","sLRP1"
"X3.methoxytyramine.sulfate",0,0.00244874981637711,0.00636063345727685,0.00667415050388921,0.002169732115402,0.00127135722421182,0.00312845614138997,0.00240692626657101,0.00366818548558675,0.00337572341869336,0.00219428693692146,0.0009690979812617,0.00206819000012097,0.00654334322697937,0.00126485783123233,0.00564861176092119,0.000192038382160135,0.00230523321080907,0.00169479910970598,0.00444562755808903,0.000357674773446144,0.00225516067116884,0.00339926804410457,0.00137542836306047,0.00215215433457384,0.00954939609390657,0.00178747215249346,0.00180106980087814,0.0016240735473107,0.00239314397279486,0.00234909057307549,0.00426438713003467,0.00256253201906524,0.00206672873442937,0.00207707325060876,0.00347042332831847,0.000431515295340343,0.00134461859827203,0.00183468976924402,0.00314915694801502,0.00197634071378552
"cytidine",0.00244874981637711,0,0.00284124874677589,0.00139077623155148,0.000969203569916858,0.000567906033928702,0.00139745862590125,0.00107515647370831,0.000710644640032983,0.00150791112194206,0.000980172030265674,0.00043288902642437,0.00041863100845611,0.00139368735052128,0.000565002802311631,0.00252319382881276,8.57821498928112e-05,0.0010297309246368,0.000757054447301949,0.00198582952671203,0.00015977072230826,0.00100736388502411,0.00151842833502976,0.000614393855435064,0.000961351702947228,0.00202992592988578,0.00079845082212034,0.000804524792848505,0.000725461852496677,0.00106900002322547,0.00104932168967826,0.00190487074445656,0.0011446644326616,0.000923192708095017,0.000927813528305473,0.0015502128834489,0.000192754746887314,0.000600631357378606,0.000819542588423083,0.00140670552580135,0.00088281703606441
"ectoine",0.00636063345727685,0.00284124874677589,0,0.00361254456083211,0.00251750857212763,0.00147513727038909,0.00362990209600846,0.00279272149108094,0.00184590113836772,0.003916802716504,0.00254599917390446,0.00112443027309198,0.00108739503759473,0.00362010619926231,0.00146759611937633,0.00655400195618405,0.000222819337849958,0.0026747285196034,0.00196645072284814,0.00515819690667314,0.000415004830224235,0.00261663008114749,0.00394412120244957,0.00159588949703621,0.00249711332904681,0.00527273741852806,0.00207397790464468,0.00208975505802054,0.00188438888289345,0.00277673009634666,0.00272561557827431,0.00494790627770377,0.00297326857935779,0.00239799524939255,0.00240999784085131,0.00402668164237166,0.000500680912317246,0.00156014137568541,0.00212876381765264,0.00365392094043566,0.00229311934550872
"gamma.glutamyl.epsilon.lysine",0.00667415050388921,0.00139077623155148,0.00361254456083211,0,0.00243835067325537,0.000722071890488613,0.00177681787408305,0.00136702239659439,0.00397812120878837,0.00191725421013259,0.00124625312747927,0.000550402670525706,0.00225795047885465,0.0035767935377502,0.000718380536959997,0.00320814928736743,0.000109068887179769,0.00130926546123021,0.000962567226455563,0.00252491009933711,0.000203142669049965,0.00128082658294247,0.00193062646449018,0.000781179466662051,0.00122232376502395,0.00748697828319526,0.00101520121313415,0.00102292404625166,0.000922398389898797,0.00135919469346525,0.00133417440726085,0.00242197394887845,0.00145539924122519,0.00117380598936049,0.00117968119438673,0.00197103936309344,0.000245080658014369,0.000763680950365744,0.00104201862773812,0.00178857497137225,0.00112246978919511
"glycerophosphorylcholine..GPC.",0.002169732115402,0.000969203569916858,0.00251750857212763,0.00243835067325537,0,0.000503197162937906,0.00123822811145707,0.000952650007152885,0.0021959014445167,0.00133609532773343,0.000868488368416765,0.000383564387327927,0.00119775488208067,0.00123488654620071,0.000500624734004627,0.00223569375978916,7.60078813710862e-05,0.000912400377721142,0.000670793454044708,0.00175955831461596,0.0001415659799032,0.000892581903882146,0.00134541417886648,0.000544388026382935,0.000851812484121805,0.0038587519644748,0.00070747300509724,0.000712854889873207,0.000642800611697385,0.000947195040606218,0.000929758913816363,0.00168782421229618,0.00101423802639779,0.000818001436513521,0.000822095746982918,0.00137357710307267,0.000170791708454867,0.000532193667522121,0.000726161513989227,0.00124642139259464,0.000782226286394121
"homocitrulline",0.00127135722421182,0.000567906033928702,0.00147513727038909,0.000722071890488613,0.000503197162937906,0,0.000725541297724414,0.00055820645329521,0.000368956922798275,0.000782886714489558,0.000508891836689257,0.000224750028502662,0.000217347461680336,0.000723583303417792,0.000293341683831776,0.00131000753155493,4.45369123645302e-05,0.000534622133006705,0.000393052256405272,0.00103101537688882,8.29507615133457e-05,0.000523009473679223,0.000788347106869455,0.000318984839281935,0.000499120581602963,0.00105390962290847,0.000414544684839389,0.0004176982068992,0.00037664981571139,0.000555010108881211,0.000544793388762079,0.000988982690660316,0.000594294029561465,0.000479308956319905,0.00048170802261776,0.000804849207239501,0.000100075613407853,0.000311839539582366,0.000425495239804637,0.000730342160969379,0.000458346462734316
"indolelactate",0.00312845614138997,0.00139745862590125,0.00362990209600846,0.00177681787408305,0.00123822811145707,0.000725541297724414,0,0.00137359065864242,0.000907900257342856,0.00192646622311513,0.00125224111797589,0.000553047242392968,0.00053483158655972,0.00178053704047501,0.000721832207999706,0.00322356378625284,0.000109592940797375,0.00131555621305784,0.000967192164421436,0.00253704177415201,0.000204118727881759,0.00128698069179673,0.00193990272841039,0.00078493287367013,0.00122819677984523,0.00259337813910015,0.00102007904660341,0.00102783898634902,0.000926830324849264,0.0013657253450063,0.00134058484146185,0.00243361103661701,0.00146239213587321,0.00117944588622749,0.00118534932040805,0.00198050980269709,0.000246258220275787,0.000767350280594414,0.00104702531338056,0.00179716870702266,0.00112786302615655
"methylmalonate..MMA.",0.00240692626657101,0.00107515647370831,0.00279272149108094,0.00136702239659439,0.000952650007152885,0.00055820645329521,0.00137359065864242,0,0.000698507147955156,0.00148215667553437,0.000963431131112892,0.000425495475790456,0.000411480978381398,0.00136988379495639,0.000555352807573489,0.00248009880862571,8.43170292036654e-05,0.0010121435817709,0.000744124296507898,0.00195191244806178,0.000157041909949674,0.000990158561174202,0.00149249425933432,0.000603900283637123,0.000944932246553403,0.00199525570442482,0.000784813639790266,0.000790783869819577,0.000713071289068189,0.00105074198174852,0.00103139974532226,0.00187233640553711,0.00112511407696968,0.000907424990237762,0.000911966888909185,0.00152373594190617,0.000189462582165999,0.00059037284288177,0.000805545168173822,0.00138267962563491,0.000867738916596845
"N.acetyl.isoputreanine",0.00366818548558675,0.000710644640032983,0.00184590113836772,0.00397812120878837,0.0021959014445167,0.000368956922798275,0.000907900257342856,0.000698507147955156,0,0.00097965898258951,0.000636797699784896,0.000281239137393509,0.00174239568070109,0.00195835198632843,0.000367070752658129,0.00163926737010022,5.5730906460919e-05,0.000668995098777051,0.000491842774296607,0.0012901527851518,0.000103799767099347,0.000654463691088855,0.000986491800600628,0.000399159108628081,0.000624570518458026,0.00634599777671393,0.000518737151456747,0.000522683285878893,0.000471317712286033,0.00069450742812511,0.000681722817718435,0.00123755552189006,0.000743665045764384,0.000599779400779014,0.00060278145306196,0.00100714157094403,0.000125228812545479,0.000390217895417507,0.000532440040185725,0.000913907778884693,0.000573548153321983
"N.acetylproline",0.00337572341869336,0.00150791112194206,0.003916802716504,0.00191725421013259,0.00133609532773343,0.000782886714489558,0.00192646622311513,0.00148215667553437,0.00097965898258951,0,0.00135121589587758,0.000596759054119341,0.000577103667179561,0.00192126733242677,0.000778884465303425,0.00347834819255952,0.00011825496029131,0.00141953529674666,0.00104363721025782,0.0027375647744907,0.000220251887436788,0.00138870122014054,0.00209322898398459,0.000846972488664413,0.00132527113857675,0.0027983538595488,0.00110070417193306,0.00110907744269122,0.00100008524695467,0.00147366970233199,0.00144654214076897,0.00262595906639389,0.00157797685416387,0.00127266706620688,0.00127903709669904,0.00213704556489192,0.000265722005890539,0.000828000200569404,0.00112978022085141,0.00193921353455312,0.00121700719409269
"palmitoleate..16.1n7.",0.00219428693692146,0.000980172030265674,0.00254599917390446,0.00124625312747927,0.000868488368416765,0.000508891836689257,0.00125224111797589,0.000963431131112892,0.000636797699784896,0.00135121589587758,0,0.000387905178988429,0.000375128789026128,0.00124886173628224,0.000506290295621406,0.00226099506811848,7.68680612743523e-05,0.000922725997308095,0.000678384812177619,0.0017794712061945,0.000143168079694725,0.000902683238137076,0.00136064020829071,0.000550548856436691,0.000861452431545356,0.00181898531286324,0.000715479465086788,0.000720922256561409,0.000650075175308621,0.000957914430802413,0.000940280979661651,0.00170692529025643,0.00102571614092616,0.000827258744885222,0.000831399390596701,0.00138912185183209,0.000172724555320314,0.000538216494223645,0.000734379471516674,0.00126052712233702,0.000791078727999192
