,X1.palmitoyl.2.palmitoleoyl.GPC..16.0.16.1..,X1.stearoyl.2.linoleoyl.GPC..18.0.18.2..,X2.3.dihydroxyisovalerate,X2.acetamidophenol.sulfate,carotene.diol..2.,ceramide..d18.1.17.0..d17.1.18.0..,phosphocholine,decanoylcarnitine..C10.,docosadioate..C22.DC.,ergothioneine,gamma.glutamylhistidine,glycerol.3.phosphate,glycolithocholate.sulfate.,homostachydrine.,hypotaurine,hypoxanthine,imidazole.lactate,mannitol.sorbitol,N6.carboxymethyllysine,N.acetylcarnosine,N.acetylhistidine,N.formylphenylalanine,nicotinamide,palmitoyl.arachidonoyl.glycerol..16.0.20.4...2..,perfluorooctanesulfonate..PFOS.,phenol.sulfate,pseudouridine,retinol..Vitamin.A.,sphingomyelin..d17.1.16.0..d18.1.15.0..d16.1.17.0..,sphingomyelin..d18.1.17.0..d17.1.18.0..d19.1.16.0.,sphingomyelin..d18.2.14.0..d18.1.14.1..,stearoyl.sphingomyelin..d18.1.18.0.,X...12100,X...12729,X...17010,X...18899,X...21258,X...21364,X...24435,Osteocalcin,R.spondin.3,Follistatin.related.protein.1,Low.density.lipoprotein.receptor,Interleukin.1.receptor.type.2,Metalloproteinase.inhibitor.2,Angiopoietin.2,Macrophage.mannose.receptor.1,Epidermal.growth.factor.receptor,Ciliary.neurotrophic.factor.receptor.subunit.alpha,Stromelysin.1,Secreted.frizzled.related.protein.3,Complement.component.C7,Artemin,Growth.hormone.receptor,Vitamin.K.dependent.protein.C,Complement.component.C9,Galectin.3,Granulysin,Low.affinity.immunoglobulin.epsilon.Fc.receptor,Insulin.like.growth.factor.binding.protein.7,RGM.domain.family.member.B,Thrombospondin.2,Bone.morphogenetic.protein.1,Carbonic.anhydrase.6,Chordin.like.protein.1,Renin,Brevican.core.protein,Stromal.cell.derived.factor.1,Angiopoietin.related.protein.4,Plasma.kallikrein,Alcohol.dehydrogenase..NADP....,Spondin.1,Growth.differentiation.factor.15,Carbohydrate.sulfotransferase.15,Macrophage.metalloelastase,Adhesion.G.protein.coupled.receptor.E2,Alpha..1.3..fucosyltransferase.5,Afamin,Galectin.3.binding.protein,Peroxiredoxin.6,CD83.antigen,Killer.cell.immunoglobulin.like.receptor.2DL4,Interleukin.27.receptor.subunit.alpha,Eotaxin,Troponin.T,Troponin.I..skeletal..fast.twitch,RGMA,LRP1B,N.terminal.pro.BNP,RSPO4,QORL1
X1.palmitoyl.2.palmitoleoyl.GPC..16.0.16.1..,0.0,0.177295385031138,0.131558104355011,0.168812493979605,0.15387585483219,0.220933704740622,0.277951270232712,0.136740570066381,0.130214911954389,0.290999543274754,0.226069434315286,0.140842430202886,0.191275150737714,0.200107648747356,0.187212074067203,0.17623652878955,0.215466809943509,0.151456133180695,0.198787198771194,0.217802534399966,0.13738900663114,0.145674443757222,0.221677358044824,0.130100849790904,0.188263465508167,0.252966800057205,0.143074172431349,0.140080468874529,0.132625406488695,0.147084247216149,0.13059035969421,0.131595174434261,0.146657416183509,0.208541071446006,0.175016832058937,0.217731621645604,0.133405404078897,0.159896967196819,0.145682503923139,0.126936410222518,0.177892359919933,0.16332244362856,0.200257257377323,0.144476293892395,0.17658025069878,0.231938049962312,0.207929397698129,0.137046467719657,0.149547517517465,0.155587400180044,0.232141362255405,0.384446624962233,0.145026687849706,0.132569077986666,0.12464860770158,0.211997981390972,0.169179534954971,0.163402976228248,0.170403980299976,0.247345873406469,0.156888305849745,0.167325430393428,0.190109373856755,0.168814785945873,0.212090682828401,0.3038608979898,0.16396642631029,0.17002795066725,0.154399691313893,0.124762391376061,0.138438841736619,0.222694887141284,0.134318787147417,0.207594754922171,0.308456232565106,0.191999479016458,0.269025844096098,0.138154565153583,0.140055257901863,0.171578808129933,0.186589320867216,0.135490836318619,0.14883259828618,0.201231494527507,0.379734160616542,0.193342537984022,0.134934209124962,0.130681948154857,0.170177260283072,0.236752868331302,0.158928957925768
X1.stearoyl.2.linoleoyl.GPC..18.0.18.2..,0.177295385031138,0.0,0.156354584897489,0.202139561397485,0.203561145183381,0.271040647944064,0.337927722096068,0.164164167040543,0.165736404140274,0.319924723156613,0.24530909962917,0.167990904330667,0.249780971866367,0.225820327404955,0.225018896008376,0.222226597527002,0.236259447902604,0.193051328212483,0.230703693615808,0.247433131425628,0.16998819155166,0.185583625806768,0.283220872167718,0.163314009180277,0.241871545285847,0.323607793243548,0.168074670351875,0.177628331105839,0.168440797412159,0.176041867512249,0.150816968046226,0.147640666400917,0.174675912082217,0.27189281948583,0.20648326786999,0.257912075893787,0.158751854819803,0.20657752812991,0.174933932094578,0.167239349381707,0.215597160423582,0.198392162042239,0.253298812454237,0.163378933943475,0.211874218271454,0.251779460858213,0.231189361853666,0.17582498711801,0.179620313124241,0.173797027673712,0.28461907276512,0.452732100356977,0.173426444406823,0.15914038716509,0.155209418705774,0.259324960921956,0.190650087720494,0.195340984711895,0.229563793630442,0.300397640330806,0.201799046940854,0.198240460672221,0.22680101909053,0.202361873489226,0.267455066143337,0.391288740339066,0.202611674431102,0.200053298685478,0.167027245414694,0.146419028394504,0.170339894361269,0.275950971590062,0.17503615171748,0.245774813411175,0.366043932811398,0.226284327578356,0.327566514484381,0.153179932274957,0.172475442212094,0.204426809159478,0.233186370066552,0.153475223655328,0.170316590149872,0.224879475347844,0.435456110832282,0.239532864058476,0.154789351784787,0.14976285827874,0.184971294365939,0.334964259178962,0.171458830902197
X2.3.dihydroxyisovalerate,0.131558104355011,0.156354584897489,0.0,0.175960754958023,0.144254405398391,0.213054937241049,0.280356865920341,0.126160330781421,0.133298287555135,0.255110187945417,0.221523784810593,0.138915745236833,0.199345370551616,0.181093455694971,0.183670519391946,0.165491857039759,0.189418146180924,0.140067182561425,0.195050478815055,0.200128724094131,0.127071641321732,0.130968525172551,0.224567972310595,0.131000824476711,0.170848720749547,0.223534294575085,0.135108172282134,0.139908095990936,0.121627304137146,0.133130787422149,0.125634247090155,0.120327429667816,0.142496433781826,0.187594018280738,0.160561649057898,0.200500259303131,0.140618145646175,0.153042481016778,0.12666069011786,0.128218346427998,0.159005575056948,0.133191762046228,0.171104906839726,0.130681782940717,0.16425463356929,0.219640086492293,0.184082609891209,0.125689408248438,0.14099677717542,0.154495293916462,0.221813571003906,0.383963135152664,0.129835002926884,0.124595366856755,0.131066050709901,0.183864752785188,0.16304060250809,0.14178084464985,0.16690776822667,0.22042698278831,0.154766848198413,0.148637687085918,0.159500950257626,0.156586755936626,0.210301010120362,0.279374574799339,0.160896470841235,0.175012476203602,0.144188595331709,0.120326066608041,0.128847562999166,0.193044100357136,0.13033452847036,0.224986811088264,0.261236540560111,0.176549150816863,0.281468841034786,0.119857667569483,0.122060236708913,0.171467512369342,0.176025370122237,0.128911205660035,0.137487926580034,0.193935388900861,0.343160929077172,0.170711627840584,0.11999489349985,0.136802797296699,0.144588292463755,0.237591096567851,0.141515419435277
X2.acetamidophenol.sulfate,0.168812493979605,0.202139561397485,0.175960754958023,0.0,0.19150126133285,0.272764170275222,0.3178138076895,0.158592629312672,0.177411662330005,0.326227351960762,0.299498928533409,0.163438384549613,0.234243007742561,0.229596563268125,0.24072442324385,0.211683829449771,0.225785015600885,0.191008337750795,0.224633313543701,0.263673612222868,0.167649661257493,0.179466044991337,0.304323541050474,0.158164070227185,0.230459489002917,0.273240831445709,0.17509114598088,0.166316673623254,0.165743860046244,0.175466922894579,0.163449076436153,0.14936994083263,0.184186230920857,0.243922076792338,0.19857432506966,0.235620008435441,0.164953960256685,0.187598307446717,0.181268982355459,0.154645705386676,0.204265170632922,0.179235939708704,0.2395968766369,0.16219867705196,0.228014776547309,0.269978169596615,0.26026140917296,0.17245968806527,0.179479098024677,0.185350932436563,0.307931788717735,0.485567840830227,0.167971535284525,0.172489245178214,0.170685467146554,0.272871816623927,0.200506474142187,0.164089138227663,0.2159122392417,0.287995349397794,0.187202893170835,0.206685933519575,0.231153971949026,0.214092401258783,0.238852689786701,0.366635125963806,0.218300695983936,0.213127416941454,0.184915365966921,0.16337426197767,0.15685545846447,0.237434838845392,0.159885284030563,0.269818369817567,0.330356336954498,0.241141360044879,0.330915738556375,0.163513187477435,0.153521753630645,0.20798120840966,0.236589609516236,0.157941158588229,0.187310383123201,0.245414066004293,0.436860717191312,0.227569565712212,0.147681362780214,0.171036596885489,0.201171902185304,0.316776056240681,0.172018494431018
carotene.diol..2.,0.15387585483219,0.203561145183381,0.144254405398391,0.19150126133285,0.0,0.24629985495555,0.2981883190057,0.146653455247389,0.148858456560438,0.31254399121228,0.254960161395886,0.15647520410911,0.221060990857467,0.221584956310339,0.232024249244605,0.214317956827807,0.244555713308034,0.189818937252847,0.233775918291188,0.227761186365595,0.161047029821598,0.170232513428369,0.292034687123804,0.159346538698592,0.227922744777971,0.285770346496889,0.17980872085675,0.15451435183062,0.172589879610925,0.174234123498298,0.161869758528023,0.147805350359263,0.177922231520978,0.254491984148253,0.195690774102104,0.250962837469769,0.149736193138788,0.195879524436247,0.174340873925405,0.152933721126236,0.209831262721465,0.188238882839962,0.236114308813063,0.175796766108627,0.209077388579401,0.287509262922967,0.222052493677364,0.165478548504953,0.183891342820362,0.165712591722521,0.29207307499008,0.452887530928854,0.153822703185851,0.160956000660271,0.145827936461849,0.258810388379578,0.186811130884793,0.180459356568186,0.216602245760184,0.289282093689235,0.17400130020141,0.185877523666544,0.214137652463377,0.212039166036658,0.24037694156606,0.367417439499959,0.20167841169913,0.186948796094114,0.160573853469735,0.150079603702109,0.153799332179265,0.234345070340623,0.154194016933728,0.261426044147766,0.346966186890208,0.20951025114298,0.326215625120425,0.1455372830385,0.167126751589563,0.195555282922525,0.212441050160472,0.150027370612831,0.166672268738482,0.2436426980824,0.425465403671826,0.236131714722054,0.159784881238264,0.157462958235966,0.192737104798148,0.33108744456522,0.170704446063876
ceramide..d18.1.17.0..d17.1.18.0..,0.220933704740622,0.271040647944064,0.213054937241049,0.272764170275222,0.24629985495555,0.0,0.474898064840102,0.230040424371706,0.225857070306169,0.460696571037335,0.359603721394924,0.224991328208151,0.32764659759593,0.308302845281326,0.296101014381061,0.276863009165955,0.313149145361418,0.267737394652701,0.29942111165982,0.306699134027628,0.20969813803319,0.238996677912264,0.382809328015377,0.223510634744253,0.292265050317851,0.408059116516564,0.233112185642065,0.244202235551354,0.21200248805323,0.243719978585348,0.209871484750489,0.204939958387302,0.252386231056684,0.328941627843808,0.267474980104226,0.339886377105165,0.225940408549398,0.242588559058552,0.252117295250562,0.221261138909685,0.279947955002764,0.251051841356826,0.329361919520529,0.214916919352374,0.285471747368367,0.362420546292186,0.329681613516413,0.219788151305472,0.24426165260401,0.234151938467308,0.38805641001243,0.58687252389764,0.216777364501609,0.204796792070629,0.207154971210886,0.359082639277584,0.272133751543689,0.248911021459929,0.304323041875193,0.399923238456205,0.253348079121776,0.275338528075414,0.292158900385099,0.279228971691526,0.368347796573607,0.457177518458272,0.260801512753967,0.289966053526588,0.230352942911258,0.222998333028515,0.223363338050875,0.33244164564101,0.241395704033869,0.352897936934618,0.448512408622583,0.314574408891166,0.436799454976674,0.226579923883124,0.216321179300378,0.280343380064632,0.316127397216171,0.208255560856376,0.227656615927784,0.32296746176245,0.628985049339098,0.28976796167609,0.221765882881991,0.216493635305466,0.265311458035644,0.404257404991658,0.227017696893177
phosphocholine,0.277951270232712,0.337927722096068,0.280356865920341,0.3178138076895,0.2981883190057,0.474898064840102,0.0,0.271220687664528,0.281560644631654,0.570834069265229,0.438151197464097,0.300179980016245,0.407402145089646,0.406537682500079,0.368653409434677,0.335042278614496,0.42884237151727,0.321594063057768,0.393513736266391,0.389216922827356,0.273311859253856,0.294641850493604,0.458164522151204,0.281473829580124,0.352642315942173,0.586700938790849,0.272910236888994,0.295784612115012,0.27078692701756,0.318665265668758,0.274895111761677,0.24120193913383,0.307948290947064,0.363405998818655,0.350472809165664,0.426342475097755,0.284091912684792,0.324391764110622,0.319162891406703,0.275494698062425,0.357509710198248,0.314805670822992,0.39881063691483,0.299143543938632,0.365357464170845,0.457477180092063,0.418067248410477,0.274523183482466,0.321402299486961,0.323687307626187,0.512390493142483,0.780563716225029,0.282512996329826,0.264049863723034,0.288273521658784,0.424420125487823,0.325333922372965,0.301107367658935,0.374104648682078,0.495898025925893,0.339019864920307,0.312564428179818,0.364806757455825,0.351704653116927,0.440254603355251,0.552832634821232,0.343654653636674,0.347724980661248,0.326121834882705,0.274825207977494,0.274632983699669,0.468704393596023,0.302084390207237,0.454123251037814,0.627943181085142,0.370050523511382,0.559893785242451,0.288527913414109,0.285801727290867,0.354961975463224,0.379910970546457,0.266719170981643,0.296583510479444,0.394599583204777,0.780000502601288,0.3923350127209,0.27876327936328,0.280312653151861,0.331068917148043,0.527630683448958,0.325106784255494
decanoylcarnitine..C10.,0.136740570066381,0.164164167040543,0.126160330781421,0.158592629312672,0.146653455247389,0.230040424371706,0.271220687664528,0.0,0.133882373623692,0.273403097628513,0.21006817937584,0.141038219451278,0.200775013252688,0.197180910937556,0.183343061029312,0.161170781660743,0.191033080627078,0.156776484663253,0.186167833362791,0.18818566642019,0.139749785403284,0.141081046038428,0.224326548856504,0.132022942293192,0.174256135400922,0.235347744454745,0.140852084223089,0.139973491082636,0.134083949759753,0.147262232725334,0.133420408717786,0.127970875149917,0.150653517531431,0.211208065197606,0.162140864797534,0.200962687923077,0.130163276626204,0.145292397946799,0.142344997406033,0.137168228223108,0.165168509064723,0.152023599132455,0.199300353157324,0.141095214742418,0.176778721216184,0.214772060472924,0.181163102605389,0.144947084600794,0.142806648447346,0.130015628608853,0.238506445380668,0.385630341286865,0.133048367997912,0.137786836539321,0.115773445589897,0.200610230930296,0.1590157456246,0.157428495059311,0.20003517024535,0.245206454367067,0.166753496562642,0.14897429429133,0.179818926351339,0.163298380810382,0.220936506707973,0.288222384899304,0.156804715681339,0.17307267484221,0.141997100520365,0.126613187694062,0.132928670069364,0.208828041112313,0.130164664970199,0.218909195412308,0.277035943021267,0.183001198873255,0.257678867626417,0.135055543691808,0.134472984196189,0.172466733623679,0.175647176162769,0.126060818625394,0.145928660849014,0.191257607390141,0.396720903184532,0.187128544931038,0.133527420293979,0.126433303842424,0.15968223888428,0.258509382499265,0.140741637962262
docosadioate..C22.DC.,0.130214911954389,0.165736404140274,0.133298287555135,0.177411662330005,0.148858456560438,0.225857070306169,0.281560644631654,0.133882373623692,0.0,0.284536852914698,0.223327834259489,0.137709728219071,0.194835159116513,0.197140202967053,0.187821897261137,0.168541541502866,0.199423641045177,0.162092462048749,0.171269636333242,0.179202330745315,0.12795541034787,0.139845507233321,0.261930353948617,0.13870144017934,0.185999002846608,0.247351700044709,0.122414275163505,0.142839727768631,0.124191081869946,0.156129864343471,0.136927910492796,0.135770573727859,0.153601609873919,0.164598599679664,0.166132062425712,0.194794469432113,0.130864422188306,0.140734629572099,0.135489623004601,0.133503079925524,0.171608186808656,0.148510802831198,0.206786295193114,0.13429037745451,0.168569353883461,0.22188818669172,0.191573218148626,0.13161853494563,0.152982678156447,0.143071138158418,0.258240291230204,0.406096165085249,0.134590817117544,0.124177808151858,0.138077425105073,0.205715743925755,0.172078071890176,0.146312503493965,0.189940531389444,0.226697285855762,0.157258109669291,0.166120545320226,0.198536622366505,0.152525385697654,0.193513620846272,0.260787169996579,0.175999905570306,0.169661351461112,0.133227647883857,0.130840979440593,0.132233938082022,0.227589367410678,0.130130527943829,0.213980254803105,0.285627485909538,0.164441251733124,0.263864421471098,0.133266105359541,0.135251099147082,0.156231507168691,0.182293630515813,0.123039659154793,0.128449519318827,0.212969007728557,0.363720221074661,0.197827015698517,0.125273467699,0.131879282654283,0.158514999598292,0.244220985226587,0.149447105992131
ergothioneine,0.290999543274754,0.319924723156613,0.255110187945417,0.326227351960762,0.31254399121228,0.460696571037335,0.570834069265229,0.273403097628513,0.284536852914698,0.0,0.452741881066898,0.258019853354525,0.401082016169877,0.3848680833187,0.373473255199301,0.34458237718148,0.427135592774873,0.308391403945635,0.388569980109155,0.374425060686612,0.245252788977529,0.279820792118158,0.463796753373071,0.267144726798189,0.351352205749607,0.475226099170148,0.251428891269712,0.292124779374984,0.243384681808604,0.319753461065189,0.272841133675784,0.26404182310778,0.322224709128392,0.381350768426367,0.325810661981613,0.418123797097279,0.256829951125629,0.293979476574842,0.305560709649317,0.267058267156618,0.356849418265698,0.31154080363938,0.405782270638323,0.284092623936001,0.361460438390881,0.484663085761125,0.449997165966665,0.268302851345511,0.303993056207068,0.308474138495119,0.467388122644411,0.776970771754351,0.267011025899273,0.251579130204168,0.261520421618811,0.423300589848701,0.329985270763452,0.312996103963057,0.362295003735472,0.490393210713151,0.304692394837683,0.344846221577688,0.351686288807194,0.297941137159903,0.443888891727565,0.522795367873201,0.342586806969009,0.339286520870447,0.30310377340524,0.257346290434369,0.272460365663556,0.409913415830916,0.278763726988468,0.439251254712591,0.591761394541267,0.362951271085886,0.536545681481024,0.277952456579524,0.300022919383293,0.332254266736922,0.375398803522941,0.267100068913219,0.276472218911659,0.403675746739991,0.753893464453436,0.38196649950858,0.266943174871711,0.258834254126379,0.339648265973654,0.46894774032026,0.293854766544254
