node,embedding
Troponin.T,"[0.0030729114077985287, -0.11325053870677948, 0.09858931601047516, 0.1435600370168686, 0.10884540528059006, 0.045414578169584274, -0.04918251559138298, 0.09882893413305283, -0.08495766669511795, -0.04207398369908333, 0.11080040782690048, 0.05954679474234581, -0.01059587299823761, -0.045708753168582916, 0.043689094483852386, 0.03272655978798866, -0.031630389392375946, 0.07484762370586395, -0.04224386066198349, -0.04365599900484085, 0.019269762560725212, 0.06449418514966965, 0.029772844165563583, -0.16805791854858398, -0.05883694812655449, -0.039070215076208115, -0.07605399936437607, 0.14554668962955475, 0.016587790101766586, -0.034376900643110275, 0.014307079836726189, 6.026600385666825e-05, 0.12194909155368805, 0.08545537292957306, 0.002547547919675708, -0.0169522762298584, 0.20820462703704834, -0.08478259295225143, 0.05950045958161354, 0.10499821603298187, -0.12221797555685043, 0.06291516870260239, 0.056669801473617554, -0.04693825915455818, 0.060892801731824875, 0.0266581904143095, -0.020556867122650146, 0.0008042146218940616, -0.04289555922150612, 0.11461900174617767, 0.03588348254561424, 0.06798728555440903, 0.0959646999835968, 0.06333433091640472, -0.0061196982860565186, 0.06371190398931503, 0.12773782014846802, -0.08553469181060791, -0.032849688082933426, 0.14771458506584167, -0.0016468724934384227, 0.017177648842334747, 0.1210286095738411, 0.009845759719610214, 0.018740125000476837, -0.0052514164708554745, 0.10222078114748001, 0.07104797661304474, 0.03594118356704712, -0.015084161423146725, 0.045238178223371506, -0.037783559411764145, -0.15721441805362701, -0.09901334345340729, 0.022157615050673485, -0.12196539342403412, 0.00907113403081894, 0.005135596729815006, -0.07800059020519257, 0.11461230367422104, 0.037400055676698685, -0.06138106435537338, 0.05683846399188042, 0.2406889945268631, 0.042512696236371994, 0.0801166370511055, 0.14118532836437225, -0.03461187332868576, 0.09648354351520538, 0.09557531028985977, 0.043770574033260345, -0.0736520066857338, 0.03434533625841141, -0.08406131714582443, 0.10677937418222427, -0.10051023215055466, -0.043045274913311005, -0.10434284061193466, -0.1209140345454216, -0.06438262015581131, -0.08409961313009262, 0.06557826697826385, -0.10751137137413025, -0.09034384042024612, 0.009841905906796455, -0.04950287565588951, -0.05145743116736412, 0.01699930801987648, 0.09410111606121063, -0.044820282608270645, 0.13880638778209686, -0.18549665808677673, 0.034898240119218826, -0.002659407677128911, -0.09298299252986908, -0.008480743505060673, 0.05750437453389168, 0.0105527238920331, -0.03524165228009224, -0.06971462815999985, -0.07480932027101517, -0.05599045753479004, -0.026070522144436836, 0.015393379144370556, -0.04795720428228378, -0.003112977370619774, -0.11047740280628204, -0.007786489091813564]"
Complement.component.C7,"[-0.028131069615483284, -0.11431697756052017, 0.10027726739645004, 0.10334622114896774, 0.08355158567428589, 0.05958779528737068, -0.06877314299345016, 0.0687367245554924, -0.0881340429186821, -0.03114299289882183, 0.1032685860991478, 0.0851828083395958, -0.004462603945285082, -0.04337959364056587, 0.03779825568199158, 0.0232237596064806, -0.01572173833847046, 0.0749434307217598, -0.009293301030993462, -0.02516915835440159, 0.0017210929654538631, 0.07115144282579422, 0.00331389089114964, -0.15900468826293945, -0.07327768951654434, -0.03429678454995155, -0.04772664234042168, 0.150870680809021, 0.031018290668725967, -0.02616017870604992, 0.009731261990964413, 0.009459862485527992, 0.08912200480699539, 0.07800091058015823, 0.02329838089644909, 0.007164476439356804, 0.1847625970840454, -0.058648765087127686, 0.0266887154430151, 0.06845257431268692, -0.10795833170413971, 0.08408460766077042, 0.03773203119635582, -0.07053934782743454, 0.09212080389261246, 0.0450035035610199, -0.018359197303652763, -0.024888573214411736, -0.058670926839113235, 0.11621182411909103, 0.06409641355276108, 0.05153956264257431, 0.11020655184984207, 0.058744337409734726, -0.010686696507036686, 0.06718365848064423, 0.11772084981203079, -0.06999097019433975, -0.014347342774271965, 0.10795609652996063, 0.004532089922577143, 0.020112065598368645, 0.1312255859375, 0.007594214752316475, 0.029400791972875595, -0.007343165576457977, 0.07841131091117859, 0.09929439425468445, 0.03859169781208038, -0.03227653726935387, 0.05468764901161194, -0.09179314225912094, -0.20677785575389862, -0.10793209075927734, -0.006305842660367489, -0.10021788626909256, -0.02639501355588436, 0.011052642948925495, -0.080072782933712, 0.12183193862438202, 0.0508195199072361, -0.04576089233160019, 0.06535247713327408, 0.24388697743415833, 0.07646583765745163, 0.07991927862167358, 0.15901853144168854, -0.06232145056128502, 0.10066300630569458, 0.08050702512264252, 0.06229792907834053, -0.07675844430923462, 0.030898742377758026, -0.07420585304498672, 0.10450997948646545, -0.09025189280509949, -0.021042337641119957, -0.11207958310842514, -0.0962684229016304, -0.10398207604885101, -0.09090778231620789, 0.08730849623680115, -0.1169462725520134, -0.10966614633798599, 0.01776125840842724, -0.00470837764441967, -0.054364804178476334, -0.01613718271255493, 0.0820915699005127, -0.08482104539871216, 0.1616455465555191, -0.16601528227329254, 0.039023399353027344, -0.024366389960050583, -0.06821483373641968, -0.04004096984863281, 0.03981245309114456, -0.005859148222953081, -0.032897986471652985, -0.07692906260490417, -0.050668179988861084, -0.05090721696615219, -0.03891953080892563, 0.019365621730685234, -0.058402832597494125, 0.005040202755481005, -0.09630041569471359, -0.007430455181747675]"
Renin,"[0.0033780827652662992, -0.12666384875774384, 0.0885782316327095, 0.0913308709859848, 0.10685636103153229, 0.03989804536104202, -0.05475562438368797, 0.05370078608393669, -0.10434552282094955, -0.027122125029563904, 0.11887478828430176, 0.0771496444940567, -0.014899872243404388, -0.022868964821100235, 0.05068952217698097, 0.03370533511042595, -0.02829638309776783, 0.06884767860174179, -0.01949206180870533, -0.02568998746573925, 0.01657671481370926, 0.04707198217511177, 0.02686809003353119, -0.15413597226142883, -0.08374260365962982, -0.031617652624845505, -0.06859785318374634, 0.15387336909770966, 0.032313521951436996, -0.04724867641925812, 0.009650416672229767, -0.02168339304625988, 0.14730487763881683, 0.09070609509944916, 0.011028737761080265, 0.0030466073658317327, 0.19171367585659027, -0.05765998736023903, 0.056252751499414444, 0.11120279878377914, -0.11591210216283798, 0.09071660786867142, 0.05558113753795624, -0.05068901926279068, 0.07398352026939392, 0.028765209019184113, -0.01560862548649311, -0.004865650553256273, -0.04385605826973915, 0.10657970607280731, 0.05787637457251549, 0.05643753334879875, 0.11504746228456497, 0.06179824844002724, -0.0032291184179484844, 0.07224101573228836, 0.11817023903131485, -0.09157116711139679, -0.016965016722679138, 0.11710039526224136, 0.013086765073239803, 0.03438520058989525, 0.10066258907318115, 0.022921619936823845, 0.04044915363192558, 0.0007470162236131728, 0.09097622334957123, 0.09276899695396423, 0.046781234443187714, -0.009573155082762241, 0.08821265399456024, -0.05335969477891922, -0.1461167335510254, -0.11681404709815979, 0.0031689563766121864, -0.081126868724823, -0.04076048731803894, 0.007699557580053806, -0.07817571610212326, 0.14592576026916504, 0.03595683351159096, -0.044585298746824265, 0.038541294634342194, 0.2408018857240677, 0.06530999392271042, 0.07918713986873627, 0.11602306365966797, -0.08675552904605865, 0.08183243125677109, 0.07595668733119965, 0.04004296287894249, -0.07229868322610855, 0.040560588240623474, -0.055035483092069626, 0.11977028846740723, -0.09481833875179291, -0.06067132577300072, -0.113057442009449, -0.09150293469429016, -0.11277966946363449, -0.10224965214729309, 0.08523869514465332, -0.10792151093482971, -0.12140814960002899, -0.022810276597738266, -0.008395956829190254, -0.041364554315805435, -0.006452992558479309, 0.09173519909381866, -0.05515781790018082, 0.13053388893604279, -0.177256241440773, 0.01705353520810604, -0.0449652262032032, -0.07890431582927704, -0.03834470361471176, 0.06753109395503998, 0.01720498315989971, -0.03162528946995735, -0.08023945242166519, -0.07933305203914642, -0.0632842481136322, -0.08577579259872437, 0.008375389501452446, -0.08760254830121994, -0.004392701201140881, -0.11310812830924988, -0.01752779632806778]"
ergothioneine,"[-0.01342005841434002, -0.14289990067481995, 0.11107458174228668, 0.13139168918132782, 0.10430547595024109, 0.0505228117108345, -0.052260637283325195, 0.08682741224765778, -0.09215086698532104, -0.020292863249778748, 0.13892674446105957, 0.08566181361675262, 0.012096828781068325, -0.007523922249674797, 0.067728690803051, 0.006239912938326597, -0.015512293204665184, 0.08754857629537582, -0.04138105362653732, -0.03219563141465187, 0.010224024765193462, 0.057257115840911865, -0.007356015499681234, -0.13805978000164032, -0.11044204235076904, -0.02051260694861412, -0.06482383608818054, 0.14598838984966278, 0.005922374781221151, -0.033451735973358154, 0.009904925711452961, 0.00876401923596859, 0.11946334689855576, 0.09406552463769913, 0.031707119196653366, -0.006449251901358366, 0.19090375304222107, -0.09072471410036087, 0.04454586282372475, 0.09758342057466507, -0.11955298483371735, 0.08827260881662369, 0.027118664234876633, -0.02701326087117195, 0.06725923717021942, 0.013934803195297718, -0.014612795785069466, 0.019914008677005768, -0.042619459331035614, 0.10842442512512207, 0.04195021092891693, 0.05398472771048546, 0.11276886612176895, 0.06447035074234009, -0.024434136226773262, 0.06303338706493378, 0.09038727730512619, -0.06197516992688179, -0.036622487008571625, 0.15053430199623108, 0.0027861646376550198, 0.029443135485053062, 0.11703372746706009, 0.014738524332642555, 0.052960436791181564, -0.01561710238456726, 0.0652635246515274, 0.07258469611406326, 0.06140045076608658, -0.028356553986668587, 0.04994156211614609, -0.06832223385572433, -0.16829101741313934, -0.12836582958698273, 0.02163161151111126, -0.09978144615888596, -0.016013870015740395, -0.0030125456396490335, -0.08005804568529129, 0.11159007996320724, 0.03435579314827919, -0.06444647908210754, 0.06476342678070068, 0.23087555170059204, 0.04731519892811775, 0.06978894025087357, 0.12565885484218597, -0.07031191140413284, 0.06453091651201248, 0.07786091417074203, 0.06258809566497803, -0.038628242909908295, 0.02847003936767578, -0.0564320869743824, 0.09263352304697037, -0.09403844177722931, -0.053425662219524384, -0.1244392916560173, -0.07740277051925659, -0.09510994702577591, -0.10703257471323013, 0.04596341401338577, -0.1026555746793747, -0.1159515231847763, -0.020196594297885895, -0.006736375857144594, -0.06735453754663467, 0.0016278153052553535, 0.11383385956287384, -0.05512848123908043, 0.1360459327697754, -0.18975883722305298, 0.04119855910539627, -0.006222182884812355, -0.09589893370866776, -0.00950742419809103, 0.014939629472792149, 0.0020533299539238214, -0.031269364058971405, -0.0718209445476532, -0.06936612725257874, -0.05428577959537506, -0.03340069577097893, 0.025083882734179497, -0.073524110019207, -0.0015753089683130383, -0.09688780456781387, -0.0034511503763496876]"
Macrophage.metalloelastase,"[-0.011552780866622925, -0.13276004791259766, 0.11473650485277176, 0.09647268056869507, 0.07463876157999039, 0.03915044665336609, -0.0757957324385643, 0.049583107233047485, -0.10617826133966446, -0.053495507687330246, 0.09482204169034958, 0.08251230418682098, -0.02443336322903633, -0.0417969711124897, 0.015248186886310577, 0.0353279784321785, -0.022015364840626717, 0.05475768446922302, -0.002809449564665556, -0.04478985443711281, 0.01642906665802002, 0.04361364245414734, -0.0069930050522089005, -0.13223586976528168, -0.049388375133275986, -0.022281771525740623, -0.06340119987726212, 0.1303441822528839, 0.022935034707188606, -0.031289733946323395, -0.002866515424102545, 0.007245871238410473, 0.09489396959543228, 0.07307212799787521, 0.030527841299772263, 0.0137720862403512, 0.1707032322883606, -0.051855891942977905, 0.03935848921537399, 0.06621357798576355, -0.09399207681417465, 0.07020130008459091, 0.02285057120025158, -0.036166608333587646, 0.08089152723550797, 0.026216456666588783, -0.0018639893969520926, -0.03207952156662941, -0.06717076152563095, 0.09412848204374313, 0.06978920847177505, 0.04240696504712105, 0.11094922572374344, 0.056566059589385986, -0.024615895003080368, 0.0653247982263565, 0.10842561721801758, -0.07174743711948395, -0.02285989560186863, 0.12211651355028152, 0.0037230285815894604, 0.014009874314069748, 0.12924937903881073, 0.03711675480008125, 0.014098208397626877, -0.01099637895822525, 0.05611265078186989, 0.0977187305688858, 0.04294741526246071, -0.019090957939624786, 0.0720294788479805, -0.09496995806694031, -0.17895933985710144, -0.1067996472120285, -0.026987239718437195, -0.0844518393278122, -0.030668696388602257, -0.00693677319213748, -0.06711392849683762, 0.11681385338306427, 0.03741121664643288, -0.07834111154079437, 0.10149293392896652, 0.25510409474372864, 0.06788922101259232, 0.07862607389688492, 0.12990735471248627, -0.06471942365169525, 0.0914386734366417, 0.05598932504653931, 0.04979269951581955, -0.06968222558498383, 0.04867316782474518, -0.09315528720617294, 0.13710203766822815, -0.09839025884866714, -0.02362949773669243, -0.10834574699401855, -0.08438079804182053, -0.1329716295003891, -0.09563650190830231, 0.09753989428281784, -0.14983566105365753, -0.11074185371398926, 0.013971129432320595, -0.03158634901046753, -0.048073675483465195, -0.014257133938372135, 0.10360817611217499, -0.06816700100898743, 0.17064934968948364, -0.18410815298557281, 0.040910691022872925, -0.008886643685400486, -0.10881556570529938, -0.04461393132805824, 0.046115852892398834, -0.006258476059883833, -0.01926553249359131, -0.056192170828580856, -0.04488097503781319, -0.07766511291265488, -0.03515603393316269, 0.0406663604080677, -0.08342441916465759, -0.017484746873378754, -0.11219251900911331, -0.020980875939130783]"
phosphocholine,"[-0.009335857816040516, -0.10459480434656143, 0.0884842798113823, 0.11042048037052155, 0.09025293588638306, 0.05476315692067146, -0.056882984936237335, 0.05749298259615898, -0.08611920475959778, -0.054000310599803925, 0.0831344947218895, 0.06462810188531876, -0.02565183863043785, -0.04563461244106293, 0.013825339265167713, 0.020243218168616295, -0.031700413674116135, 0.06073032692074776, -0.017436889931559563, -0.03291802853345871, 0.006574777886271477, 0.02959052473306656, 0.017258310690522194, -0.12526081502437592, -0.06705552339553833, -0.05985718593001366, -0.09365281462669373, 0.12907978892326355, 0.010232733562588692, -0.04333214461803436, 0.03799290582537651, 0.02274242974817753, 0.1311340034008026, 0.0642528310418129, 0.037045564502477646, -0.004730929154902697, 0.19855189323425293, -0.053212616592645645, 0.06267823278903961, 0.11066785454750061, -0.09653110802173615, 0.05004434287548065, 0.03311861306428909, -0.01939420774579048, 0.0702558159828186, 0.04783657193183899, 0.009376905858516693, 0.007495123893022537, -0.032678090035915375, 0.12426085025072098, 0.05967574939131737, 0.07980286329984665, 0.09686993062496185, 0.08252143859863281, -0.013177139684557915, 0.06833618134260178, 0.12469936907291412, -0.08267684280872345, -0.026128536090254784, 0.15197063982486725, -0.0017276674043387175, 0.01853845827281475, 0.12745893001556396, 0.05279543250799179, 0.02347002737224102, -0.00816111546009779, 0.0866234079003334, 0.07565025985240936, 0.02766152285039425, -0.013048217631876469, 0.058839425444602966, -0.048648323863744736, -0.12484872341156006, -0.10484226047992706, 0.01131144817918539, -0.10510620474815369, -0.021695846691727638, 0.0058989934623241425, -0.07668325304985046, 0.13332875072956085, 0.038112759590148926, -0.07310370355844498, 0.0505545437335968, 0.24171335995197296, 0.06558287143707275, 0.10509802401065826, 0.11849331855773926, -0.03911838307976723, 0.08760550618171692, 0.10026988387107849, 0.020307278260588646, -0.06670651584863663, 0.0519576333463192, -0.09946862608194351, 0.11044643074274063, -0.10060544312000275, -0.04441686347126961, -0.08023091405630112, -0.11161309480667114, -0.08178471028804779, -0.11421070992946625, 0.08710580319166183, -0.13725954294204712, -0.11564672738313675, -0.006110791116952896, -0.04642022028565407, -0.04964308813214302, 0.02966330386698246, 0.11169926077127457, -0.04684639722108841, 0.1469336599111557, -0.20527856051921844, 0.03448931872844696, -0.015844179317355156, -0.11747202277183533, -0.033311113715171814, 0.07232216000556946, 0.024381378665566444, -0.035682640969753265, -0.03773052245378494, -0.04214785248041153, -0.08185351639986038, -0.03786880522966385, 0.020068878307938576, -0.09120749682188034, -0.025666262954473495, -0.11045840382575989, -0.010957960039377213]"
RSPO4,"[0.006350345443934202, -0.14272041618824005, 0.13433130085468292, 0.07392361015081406, 0.09410850703716278, 0.04125423729419708, -0.0610225573182106, 0.07459687441587448, -0.08228617906570435, -0.021957069635391235, 0.10318028181791306, 0.06941327452659607, -0.018638115376234055, -0.0073778023943305016, 0.026674235239624977, 0.03038446046411991, -0.0348198227584362, 0.11229109019041061, -0.007823793217539787, -0.013242524117231369, 0.04241550713777542, 0.025695141404867172, -0.011271735653281212, -0.13760507106781006, -0.10772677510976791, -0.03282305225729942, -0.1084456518292427, 0.12531058490276337, 0.022583289071917534, -0.0044440217316150665, 0.011564291082322598, 0.013055923394858837, 0.09291083365678787, 0.09660851210355759, 0.036377955228090286, 0.006851100362837315, 0.17804859578609467, -0.050359245389699936, 0.051352955400943756, 0.09912003576755524, -0.11120937764644623, 0.07500892877578735, 0.048613980412483215, -0.03392188623547554, 0.051622726023197174, 0.014316975139081478, 0.004148064646869898, 0.005829202476888895, -0.03887312486767769, 0.11773811280727386, 0.029014166444540024, 0.04956616461277008, 0.11088291555643082, 0.06855128705501556, -0.027499409392476082, 0.06439443677663803, 0.10893889516592026, -0.06617691367864609, -0.029129818081855774, 0.12470690906047821, 0.014690808951854706, 0.008784936740994453, 0.10165207087993622, 0.020715169608592987, 0.06037168577313423, -0.015371140092611313, 0.08812820166349411, 0.06739342212677002, 0.062131911516189575, -0.022880295291543007, 0.034506477415561676, -0.0723571851849556, -0.18490064144134521, -0.13684296607971191, 0.0035876051988452673, -0.13245657086372375, -0.0388360470533371, 0.009924814105033875, -0.0725892186164856, 0.15901881456375122, 0.018965313211083412, -0.07292076200246811, 0.07120571285486221, 0.2474634349346161, 0.06771240383386612, 0.08215493708848953, 0.11234381794929504, -0.0946611762046814, 0.08018267154693604, 0.07993315905332565, 0.050549451261758804, -0.06135299801826477, 0.006500165443867445, -0.043350908905267715, 0.09587263315916061, -0.10035186260938644, -0.06808522343635559, -0.10231649875640869, -0.11123372614383698, -0.06482935696840286, -0.11713631451129913, 0.06757044047117233, -0.11944210529327393, -0.1208275854587555, -0.016330858692526817, 0.01889408566057682, -0.04937637224793434, -0.013515179976820946, 0.09390862286090851, -0.054532114416360855, 0.1062038242816925, -0.2007216066122055, 0.03925637528300285, -0.01782158389687538, -0.08886706084012985, -0.014135408215224743, 0.017841307446360588, 0.024926476180553436, -0.011600223369896412, -0.06789570301771164, -0.059189323335886, -0.06696918606758118, -0.06000012531876564, 0.031430989503860474, -0.106722891330719, 0.012753205373883247, -0.11860349029302597, 0.01060128677636385]"
Alpha..1.3..fucosyltransferase.5,"[-0.004307249560952187, -0.11565973609685898, 0.08336483687162399, 0.10188446193933487, 0.08625977486371994, 0.03544948250055313, -0.052663177251815796, 0.0686158686876297, -0.08616407215595245, -0.03785225749015808, 0.10496565699577332, 0.07760225981473923, -0.017557485029101372, -0.032356731593608856, 0.04433111473917961, 0.013485845178365707, -0.026567727327346802, 0.0558243952691555, -0.032477036118507385, -0.02060548961162567, 0.015337214805185795, 0.04687594249844551, 0.010824281722307205, -0.13714659214019775, -0.080816850066185, -0.038695741444826126, -0.06907423585653305, 0.14832808077335358, 0.03153540939092636, -0.03487847372889519, 0.00857793353497982, 0.015805814415216446, 0.13012564182281494, 0.07732043415307999, 0.02532684989273548, 0.006953465286642313, 0.1925438642501831, -0.05728728324174881, 0.04087908938527107, 0.08569507300853729, -0.10603874176740646, 0.09062085300683975, 0.024043472483754158, -0.052122484892606735, 0.08340966701507568, 0.04248236492276192, -0.005671374965459108, -0.0033469360787421465, -0.04527127370238304, 0.1268201321363449, 0.057676561176776886, 0.07411817461252213, 0.10644489526748657, 0.06863347440958023, -0.011788827367126942, 0.07457803189754486, 0.12163103371858597, -0.07207050174474716, -0.023844124749302864, 0.1418153941631317, -0.018277039751410484, 0.011736874468624592, 0.1328514814376831, 0.03551124781370163, 0.02875189110636711, 0.014227605424821377, 0.09166323393583298, 0.06616063416004181, 0.029923846945166588, -0.01713797263801098, 0.06022481247782707, -0.07544039934873581, -0.1816301941871643, -0.10544036328792572, 0.006823917385190725, -0.10864975303411484, -0.02892257645726204, 0.005936888512223959, -0.09297918528318405, 0.12931136786937714, 0.04930858686566353, -0.06337828189134598, 0.06224869191646576, 0.23282095789909363, 0.0701257586479187, 0.08502918481826782, 0.13443990051746368, -0.04385368898510933, 0.09100640565156937, 0.08299987763166428, 0.02786542847752571, -0.06920667737722397, 0.04386931657791138, -0.08411960303783417, 0.11865242570638657, -0.09439047425985336, -0.03021610528230667, -0.11087489128112793, -0.09243657439947128, -0.10007422417402267, -0.1168118417263031, 0.09424494206905365, -0.11712130904197693, -0.09704193472862244, 0.005133482161909342, -0.03296302258968353, -0.04779982566833496, -0.014147741720080376, 0.07461577653884888, -0.062152065336704254, 0.13937801122665405, -0.15798956155776978, 0.025772767141461372, -0.022866444662213326, -0.0951111763715744, -0.03432103618979454, 0.05353450030088425, -0.004761576186865568, -0.04496203362941742, -0.04788646847009659, -0.06647603958845139, -0.0807671993970871, -0.043044935911893845, 0.03492797166109085, -0.056607648730278015, -0.01857798360288143, -0.09374053031206131, -0.014943992719054222]"
phenol.sulfate,"[-0.017172908410429955, -0.13345295190811157, 0.10490473359823227, 0.13695746660232544, 0.118876151740551, 0.04990106448531151, -0.06188870593905449, 0.0830938071012497, -0.09236898273229599, -0.03970399498939514, 0.10745614767074585, 0.09414219856262207, 0.0013070283457636833, -0.025627296417951584, 0.042199376970529556, 0.015696583315730095, -0.013195817358791828, 0.055830053985118866, -0.01539608370512724, -0.02458711341023445, 0.009595601819455624, 0.029127316549420357, -0.004942602943629026, -0.12144368886947632, -0.08100026845932007, -0.029300443828105927, -0.07333528250455856, 0.11423023045063019, -0.001860962132923305, -0.03997150436043739, 0.016177566722035408, 0.00625877408310771, 0.09075839072465897, 0.06720571219921112, 0.042645834386348724, 0.009907432831823826, 0.17031538486480713, -0.08005593717098236, 0.029416995123028755, 0.08328769356012344, -0.09783831238746643, 0.059998005628585815, 0.026849262416362762, -0.012455442920327187, 0.046333394944667816, 0.018211668357253075, 0.00018193495634477586, 0.010692186653614044, -0.04764785245060921, 0.1012222096323967, 0.051201581954956055, 0.07572344690561295, 0.12772919237613678, 0.04731104522943497, -0.021379739046096802, 0.05678724870085716, 0.10798043757677078, -0.05503027141094208, -0.01770985871553421, 0.16613617539405823, -0.021051527932286263, 0.011164942756295204, 0.1256580799818039, 0.051013797521591187, 0.034348707646131516, -0.008667059242725372, 0.08101900666952133, 0.057546570897102356, 0.043548811227083206, -0.011399779468774796, 0.0228115227073431, -0.07052366435527802, -0.16288729012012482, -0.12171757966279984, 0.006203200668096542, -0.11592819541692734, 0.004168054088950157, 0.0011656844289973378, -0.08515162020921707, 0.10646260529756546, 0.037345435470342636, -0.08555331081151962, 0.07256576418876648, 0.26429736614227295, 0.051344748586416245, 0.05820070952177048, 0.14109991490840912, -0.040891651064157486, 0.07940715551376343, 0.0789954662322998, 0.0526706837117672, -0.06370749324560165, 0.036877527832984924, -0.09499480575323105, 0.11189208179712296, -0.12802383303642273, -0.05304715409874916, -0.12619058787822723, -0.09151174873113632, -0.07100652158260345, -0.09710147976875305, 0.06688271462917328, -0.12557296454906464, -0.11974021792411804, 0.006040607113391161, -0.031021974980831146, -0.07057427614927292, 0.015375836752355099, 0.11129526793956757, -0.04689813405275345, 0.1491912603378296, -0.20012862980365753, 0.044763967394828796, -0.0007576702628284693, -0.11630239337682724, -0.012038186192512512, 0.02702600322663784, 0.014154661446809769, -0.021490763872861862, -0.04596381634473801, -0.05434578284621239, -0.0660327672958374, -0.0025799775030463934, 0.015412955544888973, -0.0707511231303215, -0.015261098742485046, -0.10421855747699738, -0.015053825452923775]"
Insulin.like.growth.factor.binding.protein.7,"[-0.004001958295702934, -0.12073343247175217, 0.09512659907341003, 0.12060733139514923, 0.10590071231126785, 0.06405128538608551, -0.05776926130056381, 0.04183794558048248, -0.09475859254598618, -0.04834571108222008, 0.0880184918642044, 0.06271637976169586, -0.04283878952264786, -0.02607002854347229, 0.046857740730047226, 0.03458615392446518, -0.03419588878750801, 0.05816728249192238, -0.02105151116847992, -0.018724652007222176, 0.014705780893564224, 0.06772387772798538, 0.003745172405615449, -0.144087016582489, -0.09112335741519928, -0.023091642186045647, -0.08341695368289948, 0.14410854876041412, 0.04038391262292862, -0.031139761209487915, 0.0028343808371573687, 0.006350716110318899, 0.10675295442342758, 0.07363735139369965, 0.029905099421739578, -0.008609672077000141, 0.1698383390903473, -0.052794527262449265, 0.042494866997003555, 0.10276197642087936, -0.11541112512350082, 0.07557205855846405, 0.03787311539053917, -0.03943907469511032, 0.07434229552745819, 0.030556464567780495, -0.01809067837893963, -0.014176653698086739, -0.05769126117229462, 0.10125056654214859, 0.07539653778076172, 0.05869439244270325, 0.1076008751988411, 0.05262279137969017, -0.0368678905069828, 0.07693418115377426, 0.10654596239328384, -0.06989923119544983, -0.033738359808921814, 0.10439670830965042, -0.01855674386024475, 0.009232890792191029, 0.1393166184425354, 0.03561775013804436, 0.025582963600754738, 0.0008459206437692046, 0.08250661194324493, 0.06669880449771881, 0.047416478395462036, -0.0068945083767175674, 0.0594969317317009, -0.05560639500617981, -0.18379059433937073, -0.08345241099596024, -0.014357577078044415, -0.0908670425415039, -0.053609054535627365, 0.03451509401202202, -0.10039078444242477, 0.12865705788135529, 0.049767203629016876, -0.07474735379219055, 0.0771758034825325, 0.2415916919708252, 0.08769025653600693, 0.05531535670161247, 0.1384493112564087, -0.04731385409832001, 0.08048023283481598, 0.08355221152305603, 0.04761849716305733, -0.08600839972496033, 0.019196892157197, -0.09836646169424057, 0.15683265030384064, -0.10257977992296219, -0.029209529981017113, -0.09423604607582092, -0.0894956961274147, -0.12127130478620529, -0.061186037957668304, 0.08019766956567764, -0.1368395835161209, -0.09687606245279312, 0.0133969159796834, -0.04319947585463524, -0.0377214178442955, -0.010129785165190697, 0.08924324065446854, -0.05168604850769043, 0.17066365480422974, -0.17819315195083618, 0.03434024006128311, -0.013242537155747414, -0.10072766244411469, -0.02286333031952381, 0.05100235715508461, -0.0028991992585361004, -0.023028211668133736, -0.042385540902614594, -0.04243795573711395, -0.07237745076417923, -0.03733810782432556, 0.043782226741313934, -0.046741288155317307, -0.021387090906500816, -0.11487039923667908, -0.015926171094179153]"
